erp_system,source_account,source_account_name,source_account_name_local,source_account_type,source_normal_balance,group_account,mapping_type,mapping_rule,effective_from,effective_to,notes
KESTREL,00010000,Bank - Current Accounts,Bank Guthaben,BILANZ,S,110100,DIRECT,,2022-02-01,,"Kestrel account codes are eight-character zero-padded strings. Leading zeros are significant and must be preserved as text through the whole pipeline."
KESTREL,00010200,Cash on Hand,Kasse,BILANZ,S,110100,MERGE,,2022-02-01,,
KESTREL,00010900,Restricted Deposits,Verpfaendete Guthaben,BILANZ,S,110200,DIRECT,,2022-02-01,,
KESTREL,00012000,Trade Receivables - Third Party,Forderungen aus L+L,BILANZ,S,120100,DIRECT,,2022-02-01,,
KESTREL,00012100,Trade Receivables - Retention,Einbehalte,BILANZ,S,120100,MERGE,,2022-02-01,,
KESTREL,00012800,Bad Debt Provision,Wertberichtigung Forderungen,BILANZ,H,120200,DIRECT,,2022-02-01,,
KESTREL,00013000,Other Receivables,Sonstige Vermoegensgegenstaende,BILANZ,S,120300,DIRECT,,2022-02-01,,
KESTREL,00013500,VAT Recoverable,Vorsteuer,BILANZ,S,140300,DIRECT,,2022-02-01,,"Recoverable input VAT is presented within other current assets at group level; the group chart has no dedicated VAT asset account."
KESTREL,00016000,Receivables from Affiliated Companies,Forderungen verbundene Unternehmen,BILANZ,S,120500,DIRECT,REQUIRES_PARTNER,2022-02-01,,"Kestrel identifies the partner through a separate trading-partner field on the document header."
KESTREL,00016500,Loans to Affiliated Companies,Ausleihungen verbundene Unternehmen,BILANZ,S,175100,SPLIT,"maturity_months <= 12 -> 125100; else 175100",2022-02-01,,
KESTREL,00017000,Accrued Income,Aktive Rechnungsabgrenzung,BILANZ,S,121100,SPLIT,"accrual_type = 'CONTRACT' -> 121100; else 140100",2022-02-01,,"German ARAP conflates contract assets with prepaid expenses. The split is driven by the accrual type on the posting."
KESTREL,00020000,Raw Materials,Roh- Hilfs- und Betriebsstoffe,BILANZ,S,130100,DIRECT,,2022-02-01,,
KESTREL,00020500,Work in Progress,Unfertige Erzeugnisse,BILANZ,S,130200,DIRECT,,2022-02-01,,
KESTREL,00021000,Finished Goods,Fertige Erzeugnisse,BILANZ,S,130300,DIRECT,,2022-02-01,,
KESTREL,00021500,Goods for Resale,Handelswaren,BILANZ,S,130300,MERGE,,2023-01-01,,
KESTREL,00022900,Inventory Valuation Allowance,Wertberichtigung Vorraete,BILANZ,H,130400,DIRECT,,2022-02-01,,
