ic_flow_id,flow_type,seller_entity,buyer_entity,description,pricing_basis,margin_pct,seller_pl_account,buyer_pl_account,seller_bs_account,buyer_bs_account,elimination_rule,creates_unrealised_profit,effective_from,effective_to,notes
IC-MF-01,MANAGEMENT_FEE,NIG-110,NIG-200,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2019-07-01,,"2.5% of the buyer's external revenue. Charged monthly in arrears in USD."
IC-MF-02,MANAGEMENT_FEE,NIG-110,NIG-210,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2019-07-01,,"Invoiced in CAD; the receivable and payable are therefore exposed to CAD/USD until settlement."
IC-MF-03,MANAGEMENT_FEE,NIG-110,NIG-220,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2023-04-01,,"Invoiced in EUR."
IC-MF-04,MANAGEMENT_FEE,NIG-110,NIG-300,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2021-03-01,,
IC-MF-05,MANAGEMENT_FEE,NIG-110,NIG-310,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2021-03-01,,"Invoiced in CAD."
IC-MF-06,MANAGEMENT_FEE,NIG-110,NIG-320,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2022-02-01,,"Invoiced in GBP."
IC-MF-07,MANAGEMENT_FEE,NIG-110,NIG-400,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2022-09-01,,
IC-MF-08,MANAGEMENT_FEE,NIG-110,NIG-410,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2024-07-01,,"Invoiced in EUR."
IC-MF-09,MANAGEMENT_FEE,NIG-110,NIG-500,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2020-01-01,,
IC-MF-10,MANAGEMENT_FEE,NIG-110,NIG-510,Group management fee,PCT_OF_EXTERNAL_REVENUE,,490300,695100,120500,210500,ELIMINATE_IN_FULL,FALSE,2023-01-01,,"Invoiced in GBP. Buyer is 80% owned, so the NCI share of the charge is a genuine consolidation consideration."
