fault_id,name,category,expected_control,phase_detected,variant_file,affected_rows,detector,detail
F01,Unmapped source account,MAPPING,CTL-MAP-01,3,F01/AURORA_GL_NIG200_202411.csv,1,source account not present in the ERP chart of accounts,"Aurora account 6100 changed to 6199, which is not in the chart"
F02,Intercompany amount mismatch,INTERCOMPANY,CTL-IC-01,4,F02/AURORA_GL_NIG200_202411.csv,42,entity-pair intercompany balance does not net to zero,"the buyer restates the management fee by 4.5%; its own trial balance still closes, but the entity pair no longer eliminates"
F03,Missing FX rate,FX,CTL-FX-01,4,F03/fx_rates_monthly.csv,1,currency-period-rate-type absent from the rate table,EUR closing rate for 2024-11 removed
F04,Duplicate journal identifier,DATA_QUALITY,CTL-DQ-03,3,F04/SABLE_LEDGERTRANS_CAS-US_202411.csv,2,"duplicate (entity, journal_id, line_number)",journal SA202411300000932 present twice
F05,Invalid cost centre,DATA_QUALITY,CTL-DQ-08,3,F05/KESTREL_BSEG_1000_202412.csv,3,cost centre not present in the cost centre master,cost centre 999-999 does not exist in the master
F06,Malformed localised amount,DATA_QUALITY,CTL-DQ-09,3,F06/KESTREL_BSEG_1000_202412.csv,4,amount does not parse under the declared locale,German comma decimal replaced by a period separator
F07,Posting date outside its period,DATA_QUALITY,CTL-DQ-06,3,F07/AURORA_GL_NIG200_202411.csv,2,posting date month does not match the fiscal period,posting date moved into the following month
F08,Payroll misclassified across the gross margin line,MAPPING,CTL-MAP-04,3,F08/AURORA_GL_NIG200_202411.csv,8,payroll line whose department contradicts its cost centre function,"production payroll re-tagged to an SGA department; gross margin moves, every balancing control still passes"
F09,Unbalanced journal,TRIAL_BALANCE,CTL-TB-01,3,F09/AURORA_GL_NIG200_202411.csv,1,journal whose lines do not sum to zero,one leg of journal AU202411200001180 removed
F10,Posting before the consolidation effective date,CONSOLIDATION,CTL-CON-02,4,F10/KESTREL_BSEG_1000_202304.csv,5,period earlier than the entity's consolidation effective date,"Halden Valve posts February 2023, before its 1 April 2023 acquisition"
