acquisition_id,investment_id,parent_entity,subsidiary_entity,effective_period,basis,consideration_usd_m,ownership_pct,nci_at_acquisition_usd_m,book_net_assets_usd_m,fv_uplift_ppe_usd_m,deferred_tax_rate,currency_code,notes
ACQ-001,INV-001,NIG-100,NIG-200,202301,OPENING,118.000000,1.0000,0.000000,68.500000,0.000000,0.28125000,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. Meridian Flow Controls, the platform acquisition that formed the group."
ACQ-002,INV-002,NIG-200,NIG-210,202301,OPENING,22.000000,1.0000,0.000000,12.800000,0.000000,0.26666667,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. Meridian Canada, acquired with the platform and held by Meridian US. Second tier."
ACQ-003,INV-003,NIG-100,NIG-110,202301,OPENING,2.000000,1.0000,0.000000,2.000000,0.000000,0.00000000,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. Shared services, incorporated rather than acquired: no goodwill and no intangibles."
ACQ-004,INV-004,NIG-100,NIG-500,202301,OPENING,34.000000,1.0000,0.000000,34.000000,0.000000,0.00000000,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. The aftermarket business carved out of Meridian US. An internal reorganisation, so no goodwill arises: the group already owned the net assets."
ACQ-005,INV-005,NIG-100,NIG-300,202301,OPENING,86.000000,1.0000,0.000000,51.100000,0.000000,0.28181818,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. Cascade Industrial Services."
ACQ-006,INV-006,NIG-300,NIG-310,202301,OPENING,16.000000,1.0000,0.000000,9.600000,0.000000,0.30000000,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. Cascade Canada, acquired with Cascade US and held by it. Second tier."
ACQ-007,INV-007,NIG-100,NIG-320,202301,OPENING,22.300000,1.0000,0.000000,13.100000,0.000000,0.26666667,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. Tyneside Mechanical Services."
ACQ-008,INV-008,NIG-100,NIG-400,202301,OPENING,44.000000,1.0000,0.000000,33.100000,0.000000,0.27500000,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. Vector Engineered Systems."
ACQ-009,INV-009,NIG-500,NIG-510,202301,OPENING,16.900000,0.8000,2.800000,14.300000,0.000000,0.30000000,USD,"Completed before the modelled window, so the acquired entity's balance sheet at its own acquisition date predates the generated ledgers and its goodwill, intangibles and deferred tax are opening balances from the approved opening consolidated balance sheet. Northstar Parts UK, 80% owned and held by Aftermarket. The group's only non-controlling interest, recognised at its share of the acquired net assets."
ACQ-010,INV-010,NIG-100,NIG-220,202304,COMPUTED,52.000000,1.0000,0.000000,11.800000,0.000000,0.30000000,EUR,Halden Valve GmbH. The deferred tax rate is the German combined corporate and trade tax rate. Goodwill is the residual and is never entered.
ACQ-011,INV-011,NIG-400,NIG-410,202407,COMPUTED,38.000000,1.0000,0.000000,10.900000,0.000000,0.25900000,EUR,"Vector Systems B.V., a second-tier acquisition held through Vector Engineered Systems rather than by Topco. The deferred tax rate is the Netherlands headline rate."
