BUKRS;GJAHR;MONAT;BUDAT;BELNR;BUZEI;HKONT;TXT50;SAKNR_BEZ;KOSTL;PRCTR;SEGMENT;VBUND;BSCHL;WAERS;SOLL;HABEN;DMBTR_KONZERN_EUR;KUNNR;MATNR;ZUONR
2000;2026;1;22.01.2026;KE202601320000001;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;53.862,38;;63.393,30;C3200001;;
2000;2026;1;22.01.2026;KE202601320000001;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;53.862,38;63.393,30;C3200001;;
2000;2026;1;29.01.2026;KE202601320000002;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;25.425,65;;29.924,70;C3200002;;
2000;2026;1;29.01.2026;KE202601320000002;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;25.425,65;29.924,70;C3200002;;
2000;2026;1;12.01.2026;KE202601320000003;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;18.737,53;;22.053,13;C3200003;;
2000;2026;1;12.01.2026;KE202601320000003;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;18.737,53;22.053,13;C3200003;;
2000;2026;1;06.01.2026;KE202601320000004;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;42.320,98;;49.809,65;C3200004;;
2000;2026;1;06.01.2026;KE202601320000004;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;42.320,98;49.809,65;C3200004;;
2000;2026;1;23.01.2026;KE202601320000005;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;10.402,79;;12.243,56;C3200005;;
2000;2026;1;23.01.2026;KE202601320000005;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;10.402,79;12.243,56;C3200005;;
2000;2026;1;15.01.2026;KE202601320000006;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;70.829,70;;83.362,98;C3200006;;
2000;2026;1;15.01.2026;KE202601320000006;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;70.829,70;83.362,98;C3200006;;
2000;2026;1;20.01.2026;KE202601320000007;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;46.131,17;;54.294,06;C3200007;;
2000;2026;1;20.01.2026;KE202601320000007;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;46.131,17;54.294,06;C3200007;;
2000;2026;1;21.01.2026;KE202601320000008;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;32.978,95;;38.814,56;C3200008;;
2000;2026;1;21.01.2026;KE202601320000008;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;32.978,95;38.814,56;C3200008;;
2000;2026;1;15.01.2026;KE202601320000009;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;36.931,12;;43.466,06;C3200009;;
2000;2026;1;15.01.2026;KE202601320000009;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;36.931,12;43.466,06;C3200009;;
2000;2026;1;19.01.2026;KE202601320000010;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;96.551,67;;113.636,43;C3200010;;
2000;2026;1;19.01.2026;KE202601320000010;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;96.551,67;113.636,43;C3200010;;
2000;2026;1;29.01.2026;KE202601320000011;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;14.717,01;;17.321,18;C3200011;;
2000;2026;1;29.01.2026;KE202601320000011;2;00080400;Customer invoice;Umsatzerloese Dienstleistungen;320-400;PC320;SEG-D400;;50;GBP;;14.717,01;17.321,18;C3200011;;
2000;2026;1;05.01.2026;KE202601320000012;1;00012000;Customer invoice;Forderungen aus L+L;320-950;PC320;SEG-D950;;40;GBP;51.064,05;;60.099,81;C3200012;;
