entity_code,erp_system,erp_company_code,period_key,journal_id,line_number,posting_date,document_reference,document_type,event_type,description,source_account,expected_group_account,cost_center_code,department_code,dept_function,currency_code,amount_local,ic_partner_code,customer_code,product_code,line_attributes
NIG-100,AURORA,NIG100,202301,AU202301100000000,1,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1010,110100,100-950,D950,SGA,USD,746512.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,2,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1300,140100,100-950,D950,SGA,USD,2595.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,3,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1510,150200,100-950,D950,SGA,USD,1139.23,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,4,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1520,150300,100-950,D950,SGA,USD,2183.52,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,5,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1530,150400,100-950,D950,SGA,USD,617.08,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,6,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1540,150500,100-950,D950,SGA,USD,427.21,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,7,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1550,150600,100-950,D950,SGA,USD,379.74,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,8,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1590,155100,100-950,D950,SGA,USD,-1803.77,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,9,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1595,158100,100-950,D950,SGA,USD,46438.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,10,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,1790,180100,100-950,D950,SGA,USD,2639.0,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,11,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2000,210100,100-950,D950,SGA,USD,-329066.1,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,12,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2010,210200,100-950,D950,SGA,USD,-53568.9,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,13,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2200,215100,100-950,D950,SGA,USD,-372451.2,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,14,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2220,215200,100-950,D950,SGA,USD,-322791.04,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,15,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2230,215300,100-950,D950,SGA,USD,-86905.28,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,16,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2240,215400,100-950,D950,SGA,USD,-99320.32,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,17,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2250,215500,100-950,D950,SGA,USD,-62075.2,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,18,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2290,215600,100-950,D950,SGA,USD,-124150.4,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,19,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2295,216100,100-950,D950,SGA,USD,-86905.28,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,20,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2310,219100,100-950,D950,SGA,USD,-86905.28,,,,
NIG-100,AURORA,NIG100,202301,AU202301100000000,21,2023-01-01,OB-202301,OB,OPENING_BALANCE,Opening balance brought forward,2410,220200,100-950,D950,SGA,USD,-8000000.0,,,,
