erp_system,source_account,source_account_name,source_account_type,source_normal_balance,group_account,mapping_type,mapping_rule,effective_from,effective_to,notes
SABLE,10100,Cash - Operating,ASSET,D,110100,DIRECT,,2021-03-01,,
SABLE,10150,Cash - Payroll Clearing,ASSET,D,110100,MERGE,,2021-03-01,,
SABLE,10900,Cash in Transit,ASSET,D,110100,MERGE,,2021-03-01,,"Sable retains an in-transit clearing account that must be swept into cash, not reported separately."
SABLE,11000,Customer Receivables,ASSET,D,120100,DIRECT,,2021-03-01,,
SABLE,11100,Retainage Receivable,ASSET,D,120100,MERGE,,2021-03-01,,"Material in the project business but not separately captioned at group level."
SABLE,11500,Reserve for Bad Debts,ASSET,C,120200,DIRECT,,2021-03-01,,
SABLE,11800,Other Receivables,ASSET,D,120300,DIRECT,,2021-03-01,,
SABLE,11900,Affiliate Receivables,ASSET,D,120500,DIRECT,REQUIRES_PARTNER,2021-03-01,,"Partner comes from the Sable dimension string segment 4, not the account."
SABLE,12000,Costs in Excess of Billings,ASSET,D,121100,DIRECT,,2021-03-01,,"Sable's percentage-of-completion terminology. Maps to the group contract asset caption."
SABLE,12500,Unbilled Service Revenue,ASSET,D,121100,MERGE,,2021-03-01,,
SABLE,13000,Inventory - Materials,ASSET,D,130100,DIRECT,,2021-03-01,,
SABLE,13200,Inventory - Job WIP,ASSET,D,130200,DIRECT,,2021-03-01,,
SABLE,13900,Inventory Obsolescence Reserve,ASSET,C,130400,DIRECT,,2021-03-01,,
SABLE,14000,Prepaid Expenses,ASSET,D,140100,DIRECT,,2021-03-01,,
SABLE,14100,Prepaid Taxes,ASSET,D,140200,DIRECT,,2021-03-01,,
SABLE,14900,Other Current Assets,ASSET,D,140300,DIRECT,,2021-03-01,,
SABLE,15000,Land and Buildings,ASSET,D,150200,SPLIT,"asset_class = 'LAND' -> 150100; else 150200",2021-03-01,,"Sable combines land and buildings in one account. The split is driven by the fixed asset register asset class."
SABLE,15200,Shop Equipment,ASSET,D,150300,DIRECT,,2021-03-01,,
SABLE,15250,Field Tools and Rigging,ASSET,D,150300,MERGE,,2021-03-01,,
SABLE,15300,Trucks and Trailers,ASSET,D,150400,DIRECT,,2021-03-01,,
SABLE,15400,IT Equipment,ASSET,D,150500,DIRECT,,2021-03-01,,
SABLE,15500,Leasehold Improvements,ASSET,D,150600,DIRECT,,2021-03-01,,
SABLE,15700,Leased Assets - Capital,ASSET,D,150800,DIRECT,,2021-03-01,,
SABLE,15900,Accumulated Depreciation,ASSET,C,155100,DIRECT,,2021-03-01,,
SABLE,15950,ROU Asset - Operating Leases,ASSET,D,158100,DIRECT,,2021-03-01,,
SABLE,16000,Goodwill,ASSET,D,160100,DIRECT,,2021-03-01,,
SABLE,16100,Intangibles - Customer Contracts,ASSET,D,165100,DIRECT,,2021-03-01,,
SABLE,16200,Intangibles - Trade Name,ASSET,D,165300,DIRECT,,2021-03-01,,
SABLE,16300,Intangibles - Non-Compete,ASSET,D,165400,DIRECT,,2021-03-01,,
SABLE,16900,Accumulated Amortization,ASSET,C,166100,DIRECT,,2021-03-01,,
SABLE,17000,Deferred Tax Asset,ASSET,D,170100,DIRECT,,2021-03-01,,
SABLE,17500,Investment in Affiliates,ASSET,D,178100,DIRECT,,2021-03-01,,"Added in Phase 2. NIG-300 and NIG-400 are intermediate holding companies, so the Sable chart requires an investment account for the second-tier holdings in NIG-310 and NIG-410. Its absence was a gap in the Phase 1 chart, not a deliberate ERP difference."
SABLE,17900,Other Assets,ASSET,D,180100,DIRECT,,2021-03-01,,
SABLE,20000,Vendor Payables,LIABILITY,C,210100,DIRECT,,2021-03-01,,
SABLE,20100,Received Not Vouchered,LIABILITY,C,210200,DIRECT,,2021-03-01,,
SABLE,20900,Affiliate Payables,LIABILITY,C,210500,DIRECT,REQUIRES_PARTNER,2021-03-01,,
SABLE,21000,Billings in Excess of Costs,LIABILITY,C,211100,DIRECT,,2021-03-01,,"Group caption is Contract liabilities."
SABLE,21100,Customer Deposits,LIABILITY,C,211100,MERGE,,2021-03-01,,
SABLE,22000,Accrued Wages,LIABILITY,C,215100,DIRECT,,2021-03-01,,
SABLE,22100,Accrued PTO,LIABILITY,C,215100,MERGE,,2021-03-01,,
SABLE,22200,Accrued Incentive Comp,LIABILITY,C,215200,DIRECT,,2021-03-01,,
SABLE,22400,Job Loss Reserve,LIABILITY,C,215600,DIRECT,,2021-03-01,,"Reserve for contracts in a forecast loss position. No dedicated group account; reported within accrued liabilities and disclosed in the project review."
SABLE,22500,Accrued Insurance and Claims,LIABILITY,C,215600,MERGE,,2021-03-01,,
SABLE,22900,Other Accruals,LIABILITY,C,215600,MERGE,,2021-03-01,,"NOTE: Sable has no dedicated accrued professional fees or warranty accounts. Those group captions are populated only by Aurora and Kestrel entities. See control CTL-MAP-06."
SABLE,22950,Accrued Interest Payable,LIABILITY,C,216100,DIRECT,,2021-03-01,,
SABLE,23000,Income Tax Payable,LIABILITY,C,218100,DIRECT,,2021-03-01,,
SABLE,23100,Sales Tax Payable,LIABILITY,C,219100,DIRECT,,2021-03-01,,
SABLE,24000,Current Maturities of Debt,LIABILITY,C,220100,DIRECT,,2021-03-01,,
SABLE,24100,Revolver Draw,LIABILITY,C,220200,DIRECT,,2021-03-01,,
SABLE,24200,Capital Lease - Current,LIABILITY,C,220300,DIRECT,,2021-03-01,,
SABLE,24300,Operating Lease Liability - Current,LIABILITY,C,220400,DIRECT,,2021-03-01,,
SABLE,24900,Affiliate Loans Payable,LIABILITY,C,235100,SPLIT,"maturity_months <= 12 -> 225100; else 235100",2021-03-01,,
SABLE,25000,Long Term Debt,LIABILITY,C,230100,DIRECT,,2021-03-01,,
SABLE,25200,Capital Lease - Long Term,LIABILITY,C,230300,DIRECT,,2021-03-01,,
SABLE,25300,Operating Lease Liability - Long Term,LIABILITY,C,230400,DIRECT,,2021-03-01,,
SABLE,26000,Deferred Tax Liability,LIABILITY,C,240100,DIRECT,,2021-03-01,,
SABLE,26900,Other Long Term Liabilities,LIABILITY,C,245100,DIRECT,,2021-03-01,,
