control_id,control_name,category,severity,frequency,grain,phase_enforced,test_logic,tolerance,owner,remediation
CTL-DQ-01,Source extract file received,DATA_QUALITY,BLOCKING,Monthly,Entity x period x ERP,3,"Every active entity has an extract file for the period, with a row count and control total inside the expected band.",Exact presence,Data Engineering,Chase the entity controller. The period cannot open without the extract.
CTL-DQ-02,Source extract control total agrees to file,DATA_QUALITY,BLOCKING,Monthly,Entity x period,3,"The control total in the extract header equals the sum of the detail rows after sign normalisation.",0.01 local currency,Data Engineering,Reject the file and request a re-extract. Never partially load.
CTL-DQ-03,No duplicate journal lines,DATA_QUALITY,BLOCKING,Monthly,Journal line,3,"COUNT(*) = COUNT(DISTINCT erp_system, entity, journal_id, line_number) across the staging load.",Zero duplicates,Data Engineering,Deduplicate on the natural key and re-run. Investigate whether the extract was loaded twice.
CTL-DQ-04,No duplicate fact grain,DATA_QUALITY,BLOCKING,Monthly,fact_financials grain,4,"COUNT(*) = COUNT(DISTINCT entity, account, cost_centre, ic_partner, period, scenario, version, layer) in fact_financials.",Zero duplicates,Analytics Engineering,A duplicate grain silently doubles reported results. Fix the load logic; do not deduplicate downstream.
CTL-DQ-05,Sign convention normalised,DATA_QUALITY,BLOCKING,Monthly,Entity x account,3,"After normalisation, every revenue account has a credit balance and every expense account a debit balance at entity level, or the exception is explicitly whitelisted (for example a contra-revenue account).",Zero unexplained,Data Engineering,"Re-check the per-ERP sign rule in erp_source_profile.csv. An inverted sign on one ERP inverts that entity's entire P&L."
CTL-DQ-06,Period completeness,DATA_QUALITY,BLOCKING,Monthly,Entity x period,3,"Every entity has exactly one loaded period per calendar month between its consolidation effective-from date and the current close.",Zero gaps,Financial Reporting,Investigate whether the entity was acquired or divested mid-period before treating the gap as an error.
CTL-DQ-07,Kestrel special periods mapped,DATA_QUALITY,WARNING,Annual,Entity x period,3,"Kestrel periods 13 to 16 are mapped to December of the fiscal year with adjustment_period_flag = TRUE, and no period 13 to 16 row remains unmapped.",Zero unmapped,Data Engineering,"Special periods are year-end adjustments, not missing months. Mapping them to a thirteenth month breaks every monthly comparison."
CTL-DQ-08,Referential integrity of dimension keys,DATA_QUALITY,BLOCKING,Monthly,Fact row,4,"Every foreign key in every fact resolves to a row in its dimension. No orphan entity, account, cost centre, currency, scenario, version or partner keys.",Zero orphans,Analytics Engineering,"Add the missing dimension member or correct the source value. Never create a catch-all 'Unknown' member that hides the problem in reporting."
CTL-DQ-09,Numeric and date parsing,DATA_QUALITY,BLOCKING,Monthly,Journal line,3,"No null amounts or dates after parsing. Kestrel's comma decimal separator and DD.MM.YYYY dates parse correctly against a set of known test values.",Zero nulls,Data Engineering,"A silently mis-parsed European decimal turns 1.234,56 into 1.23. Fail the load rather than accept nulls."
CTL-DQ-10,Account code text integrity,DATA_QUALITY,BLOCKING,Monthly,Journal line,3,"Kestrel eight-character account codes retain their leading zeros. No account code has been coerced to an integer at any stage.",Zero coerced,Data Engineering,Enforce a text type on the column at read time and assert the character length.
CTL-MAP-01,All source accounts mapped,MAPPING,BLOCKING,Monthly,Source account,3,"Every source account appearing in the period's postings has an active mapping row to a group account, effective for the posting date.",Zero unmapped,Group Financial Controller,"Unmapped accounts are held in a suspense layer and reported. They are never defaulted into 'other expenses', which would quietly distort operating expense."
CTL-MAP-02,Mapping targets exist and are active,MAPPING,BLOCKING,On change,Mapping row,3,Every group_account referenced in a source mapping exists in group_coa.csv and is active for the period.,Zero invalid,Group Financial Controller,Correct the mapping file. Enforced in CI so a broken mapping cannot be merged.
