product_code,product_name,product_family,product_family_code,product_line,bu_code,revenue_type,recognition_method,is_aftermarket,standard_margin_pct,is_active
PUMP-101,Centrifugal Pumps Series 100 Model 01,Centrifugal Pumps,PUMP,PUMP-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3409,TRUE
PUMP-102,Centrifugal Pumps Series 100 Model 02,Centrifugal Pumps,PUMP,PUMP-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3765,TRUE
PUMP-103,Centrifugal Pumps Series 100 Model 03,Centrifugal Pumps,PUMP,PUMP-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3255,TRUE
PUMP-104,Centrifugal Pumps Series 100 Model 04,Centrifugal Pumps,PUMP,PUMP-100,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3402,TRUE
PUMP-201,Centrifugal Pumps Series 200 Model 01,Centrifugal Pumps,PUMP,PUMP-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3061,TRUE
PUMP-202,Centrifugal Pumps Series 200 Model 02,Centrifugal Pumps,PUMP,PUMP-200,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3745,TRUE
PUMP-301,Centrifugal Pumps Series 300 Model 01,Centrifugal Pumps,PUMP,PUMP-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3352,TRUE
PUMP-302,Centrifugal Pumps Series 300 Model 02,Centrifugal Pumps,PUMP,PUMP-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3706,TRUE
PUMP-303,Centrifugal Pumps Series 300 Model 03,Centrifugal Pumps,PUMP,PUMP-300,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3159,TRUE
PUMP-401,Centrifugal Pumps Series 400 Model 01,Centrifugal Pumps,PUMP,PUMP-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.2996,TRUE
PUMP-402,Centrifugal Pumps Series 400 Model 02,Centrifugal Pumps,PUMP,PUMP-400,FC,PRODUCT,POINT_IN_TIME,FALSE,0.3381,TRUE
