entity_code,period_key,currency_code,opening_net_assets_local,closing_net_assets_local,result_local,equity_movement_local,opening_rate,closing_rate,average_rate,cta_on_opening_net_assets,cta_on_result,cta_on_equity_movements,cta_movement_usd_m,cta_cumulative_usd_m
NIG-210,202301,CAD,21445412.43,20473922.95,-971489.49,0.0,0.7383,0.7275506,0.73010429,-0.230525,0.002481,0.0,-0.228044,-0.228044
NIG-210,202302,CAD,20473922.95,19819766.61,-654156.34,0.0,0.7275506,0.72044402,0.72449683,-0.1455,0.002651,0.0,-0.142848,-0.370893
NIG-210,202303,CAD,19819766.61,19058632.32,-761134.29,0.0,0.72044402,0.72902089,0.72141101,0.169992,-0.005792,0.0,0.164199,-0.206693
NIG-210,202304,CAD,19058632.32,18089149.49,-969482.83,0.0,0.72902089,0.74249896,0.74094561,0.256874,-0.001506,0.0,0.255368,0.048674
NIG-210,202305,CAD,18089149.49,17106427.12,-982722.37,0.0,0.74249896,0.74606135,0.7433088,0.064441,-0.002705,0.0,0.061736,0.11041
NIG-210,202306,CAD,17106427.12,16229351.48,-877075.64,0.0,0.74606135,0.72327883,0.73615989,-0.389728,0.011298,0.0,-0.37843,-0.26802
NIG-210,202307,CAD,16229351.48,15253150.82,-976200.66,0.0,0.72327883,0.7364065,0.73211201,0.213054,-0.004192,0.0,0.208861,-0.059159
NIG-210,202308,CAD,15253150.82,14669798.77,-583352.05,0.0,0.7364065,0.74263895,0.7408058,0.095064,-0.001069,0.0,0.093995,0.034836
NIG-210,202309,CAD,14669798.77,13920537.34,-749261.43,0.0,0.74263895,0.75559869,0.74116904,0.190117,-0.010812,0.0,0.179305,0.214142
NIG-210,202310,CAD,13920537.34,13443608.48,-476928.86,0.0,0.75559869,0.7651716,0.76270613,0.13326,-0.001176,0.0,0.132084,0.346226
NIG-210,202311,CAD,13443608.48,13312310.31,-131298.17,0.0,0.7651716,0.76253704,0.76229509,-0.035418,-3.2e-05,0.0,-0.03545,0.310776
NIG-210,202312,CAD,13312310.31,12042652.32,-1269657.99,0.0,0.76253704,0.7561,0.75648551,-0.085692,0.000489,0.0,-0.085202,0.225574
NIG-210,202401,CAD,12042652.32,11634309.22,-408343.1,0.0,0.7561,0.77399887,0.75887082,0.21555,-0.006177,0.0,0.209372,0.434946
NIG-210,202402,CAD,11634309.22,10950063.34,-684245.88,0.0,0.77399887,0.77394928,0.7662196,-0.000577,-0.005289,0.0,-0.005866,0.42908
NIG-210,202403,CAD,10950063.34,10036859.73,-913203.61,0.0,0.77394928,0.76178733,0.76093172,-0.133174,-0.000781,0.0,-0.133955,0.295125
NIG-210,202404,CAD,10036859.73,9387570.05,-649289.68,0.0,0.76178733,0.76024869,0.74985524,-0.015443,-0.006748,0.0,-0.022191,0.272933
NIG-210,202405,CAD,9387570.05,8608655.04,-778915.02,0.0,0.76024869,0.75643063,0.75026962,-0.035842,-0.004799,0.0,-0.040641,0.232292
NIG-210,202406,CAD,8608655.04,7289350.38,-1319304.66,0.0,0.75643063,0.73946741,0.74059117,-0.146031,0.001483,0.0,-0.144548,0.087744
NIG-210,202407,CAD,7289350.38,6068171.62,-1221178.76,0.0,0.73946741,0.70770976,0.72309655,-0.231493,0.01879,0.0,-0.212703,-0.124959
NIG-210,202408,CAD,6068171.62,4625707.48,-1442464.14,0.0,0.70770976,0.72185587,0.7116579,0.085841,-0.01471,0.0,0.071131,-0.053828
NIG-210,202409,CAD,4625707.48,3528286.16,-1097421.31,0.0,0.72185587,0.71127464,0.71053682,-0.048946,-0.00081,0.0,-0.049755,-0.103583
NIG-210,202410,CAD,3528286.16,2371533.9,-1156752.27,0.0,0.71127464,0.70591609,0.70686449,-0.018906,0.001097,0.0,-0.017809,-0.121393
NIG-210,202411,CAD,2371533.9,1433256.09,-938277.8,0.0,0.70591609,0.69405108,0.689484,-0.028138,-0.004285,0.0,-0.032423,-0.153816
NIG-210,202412,CAD,1433256.09,703485.97,-729770.12,0.0,0.69405108,0.6959,0.69162206,0.00265,-0.003122,0.0,-0.000472,-0.154288
NIG-210,202501,CAD,703485.97,-443153.69,-1146639.66,0.0,0.6959,0.70174759,0.67259249,0.004114,-0.03343,0.0,-0.029317,-0.183605
NIG-210,202502,CAD,-443153.69,-1649340.69,-1206187.0,0.0,0.70174759,0.72531411,0.68209491,-0.010444,-0.05213,0.0,-0.062574,-0.246179
NIG-210,202503,CAD,-1649340.69,-2735263.71,-1085923.02,0.0,0.72531411,0.75173237,0.7126817,-0.043573,-0.042406,0.0,-0.085979,-0.332157
NIG-210,202504,CAD,-2735263.71,-3977636.87,-1242373.16,0.0,0.75173237,0.76975509,0.73081269,-0.049297,-0.048381,0.0,-0.097678,-0.429835
NIG-210,202505,CAD,-3977636.87,-4796104.33,-818467.46,0.0,0.76975509,0.78175907,0.74463891,-0.047747,-0.030382,0.0,-0.078129,-0.507964
NIG-210,202506,CAD,-4796104.33,-5914449.98,-1118345.65,0.0,0.78175907,0.77377588,0.75135903,0.038288,-0.02507,0.0,0.013218,-0.494746
NIG-210,202507,CAD,-5914449.98,-7365452.39,-1451002.41,0.0,0.77377588,0.76836156,0.74123405,0.032023,-0.039362,0.0,-0.007339,-0.502085
NIG-210,202508,CAD,-7365452.39,-8579466.43,-1214014.04,0.0,0.76836156,0.75842209,0.73625689,0.073209,-0.026909,0.0,0.0463,-0.455786
NIG-210,202509,CAD,-8579466.43,-10136838.23,-1557371.8,0.0,0.75842209,0.73708152,0.71927995,0.183091,-0.027724,0.0,0.155367,-0.300418
NIG-210,202510,CAD,-10136838.23,-11233139.42,-1096301.19,0.0,0.73708152,0.74603553,0.71497309,-0.090765,-0.034054,0.0,-0.124819,-0.425238
NIG-210,202511,CAD,-11233139.42,-11974502.95,-741363.53,0.0,0.74603553,0.73411747,0.7127942,0.133877,-0.015808,0.0,0.118069,-0.307169
NIG-210,202512,CAD,-11974502.95,-12892426.55,-917923.6,0.0,0.73411747,0.725,0.6972821,0.109177,-0.025443,0.0,0.083734,-0.223434
NIG-210,202601,CAD,-12892426.55,-14194546.63,-1302120.08,0.0,0.725,0.7408132,0.71601893,-0.203871,-0.032285,0.0,-0.236156,-0.45959
NIG-210,202602,CAD,-14194546.63,-15104860.43,-910313.81,0.0,0.7408132,0.76611858,0.74092412,-0.359198,-0.022935,0.0,-0.382133,-0.841723
NIG-210,202603,CAD,-15104860.43,-16219187.52,-1114327.08,0.0,0.76611858,0.7727424,0.7567784,-0.100052,-0.017789,0.0,-0.117841,-0.959564
NIG-210,202604,CAD,-16219187.52,-17352424.16,-1133236.65,0.0,0.7727424,0.7570122,0.74190257,0.255131,-0.017123,0.0,0.238008,-0.721556
NIG-210,202605,CAD,-17352424.16,-18796104.78,-1443680.62,0.0,0.7570122,0.75212857,0.73986641,0.084743,-0.017703,0.0,0.06704,-0.654516
NIG-210,202606,CAD,-18796104.78,-20206297.71,-1410192.93,0.0,0.75212857,0.74329604,0.73158222,0.166017,-0.016519,0.0,0.149498,-0.505017
