control_id,control_name,severity,status,measured,threshold,defect_reference,detail
P3-ING-01,Every source extract file is ingested,BLOCKING,PASS,507,507,,one parsed partition per file present in data/raw
P3-ING-02,Row counts survive ingestion,BLOCKING,PASS,1080782,1080782,,"parsed rows equal the data rows in the extract files, counted independently"
P3-ING-03,Windows-1252 text decodes without loss,BLOCKING,PASS,0,0,,no replacement character in any Kestrel German account or item text
P3-ING-04,Every amount parses under its declared locale,BLOCKING,PASS,0,0,,German point-thousands / comma-decimal and US thousands separators
P3-ING-05,Every posting date parses,BLOCKING,PASS,0,0,,"ISO, US MM/DD/YYYY and German DD.MM.YYYY"
P3-ING-06,Posting dates fall inside their own accounting period,BLOCKING,PASS,0,0,,special periods 13-16 are excluded: they carry a December date by design
P3-ING-07,Kestrel account keys keep their leading zeros as text,BLOCKING,PASS,"184538 padded, 0 coerced",">0 padded, 0 coerced",,an eight-character key coerced to a number loses its leading zeros silently
P3-ING-13,Every amount matches its system's declared numeric grammar,BLOCKING,PASS,0,0,,"AURORA: plain decimal, point separator; SABLE: US notation: comma thousands, point decimal; KESTREL: German notation: point thousands, comma decimal"
P3-ING-08,Every line has a unique lineage key,BLOCKING,PASS,0,0,,"erp | file | journal | line, the declared grain of the conformed fact"
P3-ING-09,Row ordinals are dense within every file,BLOCKING,PASS,0,0,,"1..N per file, so a dropped row is visible"
P3-ING-10,"Kestrel special periods are classified, not numbered",BLOCKING,PASS,"['AUDIT_ADJUSTMENT', 'GROUP_REPORTING_ADJUSTMENT', 'STATUTORY_CLOSE', 'TAX_ADJUSTMENT']","4 types, 0 unclassified",,"13 statutory close, 14 audit, 15 tax, 16 group reporting; all report in month 12"
P3-ING-11,No thirteenth month can reach a management view,BLOCKING,PASS,0,0,,the accounting period is retained; the reporting month is capped at December
P3-ING-12,Source-system translated amounts never reach a calculation,BLOCKING,PASS,[],none,,"{'AURORA': 'AMOUNT_USD_SYSTEM', 'KESTREL': 'DMBTR_KONZERN_EUR'} are carried on the journal-line fact for lineage only and are absent from every aggregate"
P3-TB-01,Native trial balance closes in each ERP's own convention,BLOCKING,PASS,0.0,0.02,,"re-derived from the parsed layer: Aurora signed, Kestrel SOLL less HABEN, Sable natural sign against the approved chart"
P3-TB-02,Trial balance closes after sign normalisation,BLOCKING,PASS,0.0000,0.02,,per entity and accounting period
P3-TB-03,Trial balance still closes after mapping,BLOCKING,PASS,0.0000,0.02,,mapping is classification only: it may not move a cent
P3-TB-04,No statistical account enters the trial balance,BLOCKING,PASS,0,0,,statistical accounts are outside the balancing population
P3-TB-05,Mapping changes no amount,BLOCKING,PASS,0.000000,0.005,,the standardised and mapped amounts agree line for line
P3-TB-06,No account class has had its sign inverted,BLOCKING,SOURCE_FINDING,7 account-entity-years,7 accepted (SX-004),P2-D-01,"assets carry debit balances, liabilities, equity and revenue carry credits; contra and genuinely bidirectional accounts are named and excluded, never inferred. The accepted exception is contract assets at the Kestrel entities, driven into a credit balance by unclassified accrued-income postings. Accepted at 7 account-entity-years pending Phase 2.3 source correction."
P3-MAP-01,No line is left unresolved,BLOCKING,PASS,0,0,,an unresolved line goes to data/10_staging/exceptions/mapping_exceptions.csv and blocks the close; it never defaults silently
P3-MAP-02,No line matches more than one rule branch,BLOCKING,PASS,0,0,,"priority does not resolve an ambiguity, it hides one: a line matching two branches is an exception, not a lookup"
P3-MAP-03,Mapping agrees with the acceptance oracle where the source classified the line,BLOCKING,PASS,1013640/1013640 = 100.000000%,100.000000%,,the expected-mapping manifest is read here and nowhere else; the engine derives the group account from the approved charts and rules alone
P3-MAP-04,Mapping agreement across every line,WARNING,SOURCE_FINDING,166 journal lines,166 accepted (SX-001),P2-D-01,1080616 of 1080782 lines agree with the oracle (99.984641%). Every disagreement is a posting the source system left unclassified; see P3-MAP-13. Accepted at 166 journal lines pending Phase 2.3 source correction.
P3-MAP-05,Every mapping is effective at the posting date,BLOCKING,PASS,0,0,,"effective-dated mappings are evaluated against the posting date, not the load date"
P3-MAP-06,Every conditional account declares a default branch,BLOCKING,PASS,0,0,,a split with no default is a silent fall-through waiting to happen
P3-MAP-07,Every rule target exists and is not statistical,BLOCKING,PASS,0,0,,"CTL-MAP-02, CTL-MAP-03"
P3-MAP-08,No orphan source account,BLOCKING,PASS,0,0,,every account posted to in an extract exists in that ERP's approved chart
P3-MAP-09,"Mapping coverage of value, not just of codes",BLOCKING,PASS,100.0,99.9,,CTL-MAP-05: an unmapped rounding line and an unmapped acquisition are not the same problem
P3-MAP-10,German total-cost-method items are reclassified into cost of sales,BLOCKING,PASS,"613/613 to cost of sales, 0 left in revenue","all, none",,Bestandsveraenderung and aktivierte Eigenleistungen sit above the revenue line under the Gesamtkostenverfahren and inside cost of sales under the group's cost-of-sales presentation
P3-MAP-11,Every presentation reclassification is flagged and traceable,BLOCKING,PASS,613,613,,"the source presentation stays visible on the line: source account, source account name in German, and the reclassification type"
P3-MAP-12,A line's declared function agrees with the cost centre it was posted to,BLOCKING,SOURCE_FINDING,5710 journal lines,5710 accepted (SX-005),P2-D-02,"51,099,616 local. The posting declares one classification and sits in a cost centre carrying another. The declared attribute is authoritative for the mapping contract, so the mapping is right; the source data is not self-corroborating. Accepted at 5710 journal lines pending Phase 2.3 source correction."
