control_id,control_name,severity,status,measured,threshold,detail
P6B-00,The generated report was read and the engine is available,INFO,PASS,"665 visuals, 10 pages",live,connected to Desktop on port 59690
P6B-01,No financial amount is typed on a page: every number is a bound measure,BLOCKING,PASS,0,0,"textboxes on the eight financial pages carry no decimal, percentage or ratio; every card binds a governed measure"
P6B-02,Every value on every visual is an explicit governed measure,BLOCKING,PASS,0,0,"no implicit aggregation, no report-side arithmetic, no fact column in a value role, no measure the model does not declare"
P6B-03,"The headline KPIs are the four governed primaries, every tile a measure",BLOCKING,PASS,"['Revenue', 'Management Adjusted EBITDA', 'Closing Cash', 'Covenant Net Leverage']","['Revenue', 'Management Adjusted EBITDA', 'Closing Cash', 'Covenant Net Leverage']","first tier Revenue, Management Adjusted EBITDA, Closing Cash, Covenant Net Leverage; second tier Closing FTE, Covenant Headroom, Covenant Net Debt, EBITDA Margin %, Gross Margin %, Operating Cash Flow, Variance, Variance Favourability"
P6B-04,"The income statement is the governed line hierarchy, unit and entity beneath",BLOCKING,PASS,"['Measure Line.measure_name', 'Business Unit.bu_name', 'Entity.entity_name']","['Measure Line.measure_name', 'Business Unit.bu_name', 'Entity.entity_name']","values Variance, Variance %, Variance Base, Variance Comparator, Variance Favourability"
P6B-06,"Every percentage or variance shown is the governed measure, never local",BLOCKING,PASS,0,0,[Variance %] divides the additive variance by the comparator at every grain; the report carries no ratio of its own
P6B-07,No visual reaches Actual amounts past the governed cutoff measures,BLOCKING,PASS,0,0,a visual scoped to the Actual scenario binds measures only; a raw fact column would show source rows dated after the reporting close
P6B-09,The derived prior-year version is never exposed: no version on any page,BLOCKING,PASS,0,0,"scenario scope is by scenario_code; the version behind Actual, Budget, Forecast and Prior Year is the measure's choice, not the reader's"
P6B-11,"Covenant status is the governed verdict, shown as a verdict only on test dates",BLOCKING,PASS,"{'tile': ['Covenant Status'], 'tests_filtered': True, 'typed_verdicts': []}","tile=[Covenant Status], tests on accounting_period 12, no typed verdict",the word Breach or Compliant appears only where [Covenant Status] puts it
P6B-12,The capital project table is keyed on the corrected unique project_id,BLOCKING,PASS,"['Capital Project.project_id', 'Capital Project.project_name']","['Capital Project.project_id', '...']",ADR-0026: the pre-correction identifier collided five ways in an entity-month
P6B-13,"Control counts on the page are read from the registers, never typed",BLOCKING,PASS,"{'page': {'Phase 2': (80, 80), 'Phase 3': (62, 62), 'Phase 4': (72, 72), 'Phase 5': (36, 36), 'Phase 5.1': (304, 304), 'Phase 6A': (68, 68), 'Phase 6B': (38, 38), 'Phase 6B.1': (12, 12)}, 'typed_literals': 0}","page == register, 0 literals","Phase 6A shows (68, 68) from phase06a_control_results.csv; the page code contains no control-count literal"
P6B-14,"The concepts the owner deferred (DSO, DIO, DPO, CCC, revolver) are absent",BLOCKING,PASS,0,0,deferred on record in REPORT_CONCEPTS; no page invents them
P6B-15,Scaled money measures are never scaled or reformatted again by a visual,BLOCKING,PASS,0,0,the model's format already divides by a million; display units stay at None and no projection carries a format
