control_id,family,control_name,severity,iterates_from,threshold,design_note
P4-OWN-01,Ownership,No circular ownership,BLOCKING,"ref_ownership, the ownership register",0,an entity in its own ownership path would consolidate itself
P4-OWN-02,Ownership,Every consolidated entity has one valid ownership path,BLOCKING,"ref_ownership, the ownership register",0,"walked from the ownership register, so an entity the register omits fails here"
P4-OWN-03,Ownership,Ownership effective dates do not overlap,BLOCKING,"ref_ownership, the ownership register",0,an overlap makes the percentage for a month ambiguous
P4-OWN-04,Ownership,Ownership percentages are valid and complement the NCI share,BLOCKING,"ref_ownership, the ownership register",0,
P4-OWN-05,Ownership,The ownership register and the investment register agree,BLOCKING,"ref_ownership, the ownership register",0,"a subsidiary consolidated on a relationship nobody paid for, or an investment in something not consolidated"
P4-OWN-06,Ownership,Second-tier holdings are resolved through their own parent,BLOCKING,"ref_ownership, the ownership register",equal,an entity held by an operating company rather than by Topco consolidates through its own parent; a flat register would consolidate it one tier too high and the group percentage would be its direct percentage
P4-FX-01,FX and CTA,Every currency and period the entities require has both rates,BLOCKING,the entity-period population that requires a rate; ref_cta_expectation,0,"CTL-FX-01, iterated from the entity-period population that NEEDS a rate rather than from the rates that happen to exist"
P4-FX-02,FX and CTA,Every entity has a registered opening translation base,BLOCKING,the entity-period population that requires a rate; ref_cta_expectation,0,FX-P16
P4-FX-03,FX and CTA,Historical-rate equity is never translated at a closing rate,BLOCKING,the entity-period population that requires a rate; ref_cta_expectation,0,"FX-P03. Retranslating contributed capital would make CTA a plug rather than a residual, and the balance sheet would still balance"
P4-FX-04,FX and CTA,Derived CTA reproduces the independent expectation,BLOCKING,the entity-period population that requires a rate; ref_cta_expectation,all rows within USD 1,"CTL-FX-04, CTL-FX-12. The oracle is read here and by nothing that computes CTA. Iterated from the expectation's population, so an entity-period the engine failed to produce fails the control rather than disappearing from it"
P4-FX-05,FX and CTA,The presentation currency generates no translation adjustment,BLOCKING,the entity-period population that requires a rate; ref_cta_expectation,0,every translation rule must give the same answer at a rate of one; any difference is a defect in the rules themselves
P4-FX-06,FX and CTA,The CTA roll-forward is continuous across periods,BLOCKING,the entity-period population that requires a rate; ref_cta_expectation,0,CTL-FX-09. A discontinuity means a closed period was restated or the engine recomputed CTA from scratch instead of rolling it forward
