entity_code,bu_code,measure,FY2023A,FY2024A,FY2025A,FY2026B,FY2026F
NIG-200,FC,external_revenue,72.500,82.000,92.000,100.000,98.500
NIG-210,FC,external_revenue,33.000,33.400,35.600,37.500,36.500
NIG-220,FC,external_revenue,18.500,25.600,29.000,31.500,28.500
NIG-300,IS,external_revenue,58.500,65.000,71.000,77.000,76.500
NIG-310,IS,external_revenue,22.500,24.500,26.400,28.500,28.000
NIG-320,IS,external_revenue,20.500,23.500,26.200,29.000,28.500
NIG-400,ES,external_revenue,55.000,56.900,55.700,59.000,57.200
NIG-410,ES,external_revenue,0.000,8.500,18.500,23.000,21.000
NIG-500,AM,external_revenue,30.000,32.500,35.400,38.000,38.200
NIG-510,AM,external_revenue,17.500,19.500,22.300,24.500,24.300
