policy_id,category,parameter,value,unit,effective_from,source,notes
TP-001,LIQUIDITY,Year-end minimum cash balance,15.000,USD_MILLIONS,2021-06-15,Board treasury policy S3.1,"The reported year-end cash floor. The anchor model draws the revolver to hold this balance at 31 December and the source generator lands on the same anchored balance."
TP-002,LIQUIDITY,Year-end target cash balance,22.000,USD_MILLIONS,2021-06-15,Board treasury policy S3.1,"Above this level surplus cash is applied to the revolver before any voluntary term-loan prepayment."
TP-003,LIQUIDITY,Intra-year minimum operating cash,8.000,USD_MILLIONS,2021-06-15,Board treasury policy S3.2,"The operating floor treasury manages to during the year. It is below the reported year-end floor because a month end inside the year carries no reporting obligation. Scaled by monthly trading activity."
TP-004,LIQUIDITY,Liquidity headroom above the operating floor,4.000,USD_MILLIONS,2021-06-15,Board treasury policy S3.2,"A borrowing notice is not submitted for the exact shortfall; it is submitted for the shortfall plus working headroom."
TP-005,BORROWING,Borrowing notice increment,0.500,USD_MILLIONS,2021-06-15,Credit agreement S2.3(a),"Drawings are requested in multiples of USD 0.5m."
TP-006,BORROWING,Voluntary repayment block,2.500,USD_MILLIONS,2021-06-15,Credit agreement S2.6(b),"Repayments are made in blocks of USD 2.5m, and only once the surplus is worth applying."
TP-007,BORROWING,Minimum surplus before repayment,3.000,USD_MILLIONS,2021-06-15,Board treasury policy S3.3,"No treasurer repays half a million and redraws it a month later. Below this surplus the balance is left drawn."
TP-008,CALENDAR,Borrowing notice day of month,3,DAY_OF_MONTH,2021-06-15,Credit agreement S2.3(a),"Two business days' notice. Funds are drawn ahead of the supplier payment run and the payroll disbursement, so a month that draws is drawn for substantially the whole month."
TP-009,CALENDAR,Collections sweep day of month,25,DAY_OF_MONTH,2021-06-15,Board treasury policy S3.4,"Surplus collections are applied to the facility once the month's receipts have cleared, so a month that repays is drawn for most of the month and repaid only at the end."
TP-010,INTEREST,Interest basis,ACTUAL_365,CONVENTION,2021-06-15,Credit agreement S2.8(c),"Interest accrues on the daily drawn balance, actual days over a 365-day year, and is settled quarterly in arrears."
TP-011,INTEREST,Commitment fee basis,DAILY_UNDRAWN,CONVENTION,2021-06-15,Credit agreement S2.9,"The commitment fee accrues on the daily undrawn commitment, so it is the mirror of the drawn balance and not an independent assumption."
