fixture_id,description,expected_control,status,controls_triggered
F6-XAR-01,Revenue omits a valid account family,P6-XAR-01,DETECTED,P6-XAR-01;P6-XAR-19;P6-XLS-01
F6-XAR-02,EBITDA sweeps in the year-end close (P4-D-02 attempted again in DAX),P6-XAR-03,DETECTED,P6-XAR-03;P6-XLS-03
F6-XAR-03,Future Actual returns zero instead of blank,P6-POL-01,DETECTED,P6-POL-01
F6-XAR-04,Covenant EBITDA aliases Adjusted EBITDA instead of its governed bridge,P6-POL-02,DETECTED,P6-XAR-14;P6-XAR-15;P6-XLS-08;P6-POL-02
F6-XAR-05,Statutory reporting includes layer 4,P6-POL-06,DETECTED,P6-POL-06
F6-XAR-06,Cash differs from the mart's closing cash,P6-XAR-11,DETECTED,P6-XAR-11;P6-XLS-07
F6-XAR-07,A superseded forecast is presented as the current forecast,P6-POL-07,DETECTED,P6-POL-07
F6-XAR-08,A required financial statement caption is missing,P6-XAR-07,DETECTED,P6-XAR-07;P6-XAR-08
F6-XAR-09,PY_DERIVED removed from the semantic version dimension,P6-POL-04,DETECTED,P6-SEM-02;P6-POL-04;P6-PATH-04
F6-XAR-10,Capital Project reverts to the colliding pre-ADR-0026 key,P6-SEM-01,DETECTED,P6-SEM-01;P6-SEM-02;P6-SEM-03;P6-POL-04;P6-PATH-04 (and the engine refused to load the model)
F6-PBIP-01,Relationship rationale emitted as a /// doc comment (P6B-D-01),P6-PBIP-01,DETECTED,P6-PBIP-01;P6-PBIP-03 (engine accepted the model over TMSL)
F6-PBIP-02,Measures host table named the reserved `Measures` (P6B-D-02),P6-PBIP-02,DETECTED,P6-SEM-13;P6-PBIP-02;P6-PBIP-03 (and the engine refused to load the model)
F6A3-01,Entity -> Business Unit active relationship removed (P6B-D-05),P6-PATH-01,DETECTED,P6-PBIP-04;P6-PATH-01;P6-PATH-04;P6-PCT-01
F6A3-02,[Variance %] additive again -- stored percentages summed (P6B-D-04),P6-PCT-01,DETECTED,P6-PCT-01;P6-PCT-02
F6A3-03,Excel-style money format restored on every money measure (P6B-D-03),P6-FMT-04,DETECTED,P6-FMT-01;P6-FMT-04
F6A3-04,A report concept with no governed measure behind it,P6-COV-01,DETECTED,P6-COV-01
