line_item,amount_usd_m
accrued,16.100000
ap,26.100000
ar,49.100000
cash,16.400000
contract_assets,6.900000
contract_liabilities,4.700000
contributed_capital,145.000000
cta,-3.500000
dff,4.600000
dtl,11.500000
finance_lease,9.900000
goodwill,96.000000
intangibles_net,41.000000
inventory,32.800000
nci,2.800000
operating_lease,20.500000
other_ltl,3.200000
other_nca,6.000000
ppe_net,68.000000
prepaid,5.900000
rcf,8.000000
retained_earnings,-77.100000
rou_asset,20.500000
tax_payable,1.800000
tlb_gross,178.200000
