source_journal_type,erp_system,source_account,source_account_name,expected_group_account,produced_group_account,mapping_rule_id,classifiable_at_source,line_count,absolute_amount_local,example_line_attributes,example_dept_code,example_cost_centre
YEAR_END_CLOSE,AURORA,7100,Interest Expense,730300,730100,AUR-7100-99,false,12,881103.27,"",D950,110-950
YEAR_END_CLOSE,KESTREL,00091600,Leiharbeit,510300,610600,KES-00091600-99,false,11,3528607.64,"",D115,220-120
YEAR_END_CLOSE,KESTREL,00094000,Rechts- und Beratungskosten,630100,630300,KES-00094000-99,false,11,374350.62,"",D500,220-500
YEAR_END_CLOSE,KESTREL,00094000,Rechts- und Beratungskosten,630200,630300,KES-00094000-99,false,11,374350.62,"",D500,220-500
YEAR_END_CLOSE,KESTREL,00095000,EDV-Kosten,650200,650100,KES-00095000-99,false,11,499133.07,"",D510,220-510
YEAR_END_CLOSE,KESTREL,00100000,Zinsen und aehnliche Aufwendungen,730300,730100,KES-00100000-99,false,11,346980.95,"",D950,220-950
YEAR_END_CLOSE,KESTREL,00100000,Zinsen und aehnliche Aufwendungen,795200,730100,KES-00100000-99,false,11,5085054.96,"",D950,220-950
YEAR_END_CLOSE,SABLE,62000,Professional Fees,630100,630300,SAB-62000-99,false,9,995406.13,"",D500,300-500
YEAR_END_CLOSE,SABLE,62000,Professional Fees,630200,630300,SAB-62000-99,false,9,995406.13,"",D500,300-500
YEAR_END_CLOSE,SABLE,63000,Selling Expense,640200,640100,SAB-63000-99,false,9,663603.54,"",D405,300-405
YEAR_END_CLOSE,SABLE,63000,Selling Expense,640300,640100,SAB-63000-99,false,9,1990812.28,"",D400,300-400
YEAR_END_CLOSE,SABLE,71000,Interest Expense,730300,730100,SAB-71000-99,false,9,840711.32,"",D950,300-950
YEAR_END_CLOSE,KESTREL,00098000,Restrukturierungsaufwand,680200,680100,KES-00098000-99,false,8,1152641.24,"",D525,220-525
YEAR_END_CLOSE,KESTREL,00081500,Sonstige betriebliche Ertraege,435100,750100,KES-00081500-99,false,6,7611259.73,"",D120,220-120
AUDIT_ADJUSTMENT,KESTREL,00094000,Rechts- und Beratungskosten,630100,630300,KES-00094000-99,false,5,9273.02,special_period=14,D500,220-500
YEAR_END_CLOSE,AURORA,7100,Interest Expense,730200,730100,AUR-7100-99,false,3,5945222.00,"",D950,100-950
OPENING_BALANCE,KESTREL,00017000,Aktive Rechnungsabgrenzung,121100,140100,KES-00017000-99,false,3,1891449.27,"",D950,220-950
YEAR_END_CLOSE,KESTREL,00080000,Umsatzerloese Produkte,410200,410100,KES-00080000-99,false,3,17450520.18,"",D400,220-400
YEAR_END_CLOSE,KESTREL,00089000,Umsatzerloese verbundene Unternehmen,490100,490200,KES-00089000-99,false,3,10722106.87,"",D400,220-400
YEAR_END_CLOSE,KESTREL,00091000,Loehne und Gehaelter,520100,515200,KES-00091000-20,false,3,1730592.66,"",D210,320-210
YEAR_END_CLOSE,SABLE,60700,Safety Training and Certification,520300,610800,SAB-60700-99,false,3,5456056.72,"",D115,400-115
YEAR_END_CLOSE,SABLE,62000,Professional Fees,680400,630300,SAB-62000-99,false,3,896087.00,"",D950,300-950
YEAR_END_CLOSE,SABLE,80000,Income Tax Provision,810300,810100,SAB-80000-99,false,3,348388.70,"",D950,310-950
