erp_system,source_account,source_account_name,mapping_type,expected_group_account,requested_group_account,required_line_attributes,group_account_name,statement,substituted_because_unavailable
AURORA,1010,Operating Bank Accounts,DIRECT,110100,110100,,Cash and cash equivalents,BS,FALSE
AURORA,1100,Accounts Receivable - Trade,DIRECT,120100,120100,,Trade accounts receivable,BS,FALSE
AURORA,1110,Allowance for Doubtful Accounts,DIRECT,120200,120200,,Allowance for doubtful accounts,BS,FALSE
AURORA,1150,Due From Affiliates,DIRECT,120500,120500,,Intercompany accounts receivable,BS,FALSE
AURORA,1160,Intercompany Notes Receivable,SPLIT,125100,125100,maturity_months=12,Intercompany loans receivable - current,BS,FALSE
AURORA,1200,Inventory - Raw Materials,DIRECT,130100,130100,,Raw materials inventory,BS,FALSE
AURORA,1210,Inventory - WIP,DIRECT,130200,130200,,Work in process inventory,BS,FALSE
AURORA,1220,Inventory - Finished Goods,DIRECT,130300,130300,,Finished goods inventory,BS,FALSE
AURORA,1290,Inventory Valuation Reserve,DIRECT,130400,130400,,Inventory reserve,BS,FALSE
AURORA,1300,Prepaid Expenses,DIRECT,140100,140100,,Prepaid expenses,BS,FALSE
AURORA,1510,Buildings,DIRECT,150200,150200,,Buildings and improvements,BS,FALSE
AURORA,1520,Machinery and Equipment,DIRECT,150300,150300,,Machinery and equipment,BS,FALSE
AURORA,1530,Vehicles,DIRECT,150400,150400,,Vehicles,BS,FALSE
AURORA,1540,Computer Equipment,DIRECT,150500,150500,,Computer hardware and software,BS,FALSE
AURORA,1550,Leasehold Improvements,DIRECT,150600,150600,,Leasehold improvements,BS,FALSE
AURORA,1590,Accumulated Depreciation,DIRECT,155100,155100,,Accumulated depreciation,BS,FALSE
AURORA,1595,Operating Lease ROU Asset,DIRECT,158100,158100,,Operating lease right-of-use assets,BS,FALSE
AURORA,1160,Intercompany Notes Receivable,SPLIT,175100,175100,,Intercompany loans receivable - non-current,BS,FALSE
AURORA,1750,Investment in Subsidiaries,DIRECT,178100,178100,,Investments in subsidiaries,BS,FALSE
AURORA,1790,Other Long Term Assets,DIRECT,180100,180100,,Other non-current assets,BS,FALSE
AURORA,2000,Accounts Payable - Trade,DIRECT,210100,210100,,Trade accounts payable,BS,FALSE
AURORA,2010,Accrued Purchases (GRNI),DIRECT,210200,210200,,Goods received not invoiced,BS,FALSE
AURORA,2050,Due To Affiliates,DIRECT,210500,210500,,Intercompany accounts payable,BS,FALSE
AURORA,2200,Accrued Payroll,DIRECT,215100,215100,,Accrued payroll and benefits,BS,FALSE
AURORA,2220,Accrued Bonus,DIRECT,215200,215200,,Accrued bonus and incentive,BS,FALSE
