holding_period,transaction_period,months_held,seller_entity,buyer_entity,inventory_category,buyer_inventory_account,transfer_price_usd,seller_cost_usd,ic_gross_profit_usd,ic_margin_pct,quantity_transferred,pct_remaining,quantity_remaining,value_remaining_usd,value_remaining_buyer_local,buyer_currency,unrealised_profit_usd,months_on_hand
202301,202301,0,NIG-200,NIG-210,FINISHED_GOODS,130300,922115.62,811461.75,110653.87,0.12,225,1.0,225,922115.62,1267424.73,CAD,110653.87,2.97
202302,202302,0,NIG-200,NIG-210,FINISHED_GOODS,130300,814740.63,716971.76,97768.88,0.12,258,1.0,258,814740.63,1130886.8,CAD,97768.88,2.97
202302,202301,1,NIG-200,NIG-210,FINISHED_GOODS,130300,922115.62,811461.75,110653.87,0.12,471,0.6633,312,611638.98,848975.03,CAD,73396.68,2.97
202303,202303,0,NIG-200,NIG-210,FINISHED_GOODS,130300,773243.53,680454.31,92789.22,0.12,237,1.0,237,773243.53,1060660.32,CAD,92789.22,2.97
202303,202302,1,NIG-200,NIG-210,FINISHED_GOODS,130300,814740.63,716971.76,97768.88,0.12,295,0.6633,195,540417.19,741291.77,CAD,64850.06,2.97
202303,202301,2,NIG-200,NIG-210,FINISHED_GOODS,130300,922115.62,811461.75,110653.87,0.12,227,0.326599,74,301162.34,413105.23,CAD,36139.48,2.97
202304,202304,0,NIG-200,NIG-210,FINISHED_GOODS,130300,759139.28,668042.56,91096.71,0.12,225,1.0,225,759139.28,1022411.23,CAD,91096.71,2.97
202304,202303,1,NIG-200,NIG-210,FINISHED_GOODS,130300,773243.53,680454.31,92789.22,0.12,222,0.6633,147,512892.17,690764.84,CAD,61547.06,2.97
202304,202302,2,NIG-200,NIG-210,FINISHED_GOODS,130300,814740.63,716971.76,97768.88,0.12,281,0.326599,91,266093.74,358375.91,CAD,31931.25,2.97
202305,202305,0,NIG-200,NIG-210,FINISHED_GOODS,130300,789954.27,695159.76,94794.51,0.12,192,1.0,192,789954.27,1058832.86,CAD,94794.51,2.97
202305,202304,1,NIG-200,NIG-210,FINISHED_GOODS,130300,759139.28,668042.56,91096.71,0.12,238,0.6633,157,503536.83,674926.84,CAD,60424.42,2.97
202305,202303,2,NIG-200,NIG-210,FINISHED_GOODS,130300,773243.53,680454.31,92789.22,0.12,188,0.326599,61,252540.82,338498.73,CAD,30304.9,2.97
