entity_code,group_account,event_type,event_date,currency_code,rate_usd_per_unit,basis,note
NIG-100,310100,CAPITAL_CONTRIBUTION,2019-01-01,USD,1.00000000,FY2022 closing anchor,Share capital
NIG-100,310200,CAPITAL_CONTRIBUTION,2019-01-01,USD,1.00000000,FY2022 closing anchor,Additional paid-in capital
NIG-100,ACQ_OPENING_BS,ACQUISITION_DATE,2019-01-01,USD,1.00000000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-110,310100,CAPITAL_CONTRIBUTION,2019-07-01,USD,1.00000000,FY2022 closing anchor,Share capital
NIG-110,310200,CAPITAL_CONTRIBUTION,2019-07-01,USD,1.00000000,FY2022 closing anchor,Additional paid-in capital
NIG-110,ACQ_OPENING_BS,ACQUISITION_DATE,2019-07-01,USD,1.00000000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-200,310100,CAPITAL_CONTRIBUTION,2019-01-01,USD,1.00000000,FY2022 closing anchor,Share capital
NIG-200,310200,CAPITAL_CONTRIBUTION,2019-01-01,USD,1.00000000,FY2022 closing anchor,Additional paid-in capital
NIG-200,ACQ_OPENING_BS,ACQUISITION_DATE,2019-01-01,USD,1.00000000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-210,310100,CAPITAL_CONTRIBUTION,2019-01-01,CAD,0.73830000,FY2022 closing anchor,Share capital
NIG-210,310200,CAPITAL_CONTRIBUTION,2019-01-01,CAD,0.73830000,FY2022 closing anchor,Additional paid-in capital
NIG-210,ACQ_OPENING_BS,ACQUISITION_DATE,2019-01-01,CAD,0.73830000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-220,310100,CAPITAL_CONTRIBUTION,2023-04-01,EUR,1.07468897,closing spot 202304,Share capital
NIG-220,310200,CAPITAL_CONTRIBUTION,2023-04-01,EUR,1.07468897,closing spot 202304,Additional paid-in capital
NIG-220,ACQ_OPENING_BS,ACQUISITION_DATE,2023-04-01,EUR,1.07468897,closing spot 202304,Opening balance sheet translation base (FX-P16)
NIG-300,310100,CAPITAL_CONTRIBUTION,2021-03-01,USD,1.00000000,FY2022 closing anchor,Share capital
NIG-300,310200,CAPITAL_CONTRIBUTION,2021-03-01,USD,1.00000000,FY2022 closing anchor,Additional paid-in capital
NIG-300,ACQ_OPENING_BS,ACQUISITION_DATE,2021-03-01,USD,1.00000000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-310,310100,CAPITAL_CONTRIBUTION,2021-03-01,CAD,0.73830000,FY2022 closing anchor,Share capital
NIG-310,310200,CAPITAL_CONTRIBUTION,2021-03-01,CAD,0.73830000,FY2022 closing anchor,Additional paid-in capital
NIG-310,ACQ_OPENING_BS,ACQUISITION_DATE,2021-03-01,CAD,0.73830000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-320,310100,CAPITAL_CONTRIBUTION,2022-02-01,GBP,1.20830000,FY2022 closing anchor,Share capital
NIG-320,310200,CAPITAL_CONTRIBUTION,2022-02-01,GBP,1.20830000,FY2022 closing anchor,Additional paid-in capital
NIG-320,ACQ_OPENING_BS,ACQUISITION_DATE,2022-02-01,GBP,1.20830000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-400,310100,CAPITAL_CONTRIBUTION,2022-09-01,USD,1.00000000,FY2022 closing anchor,Share capital
NIG-400,310200,CAPITAL_CONTRIBUTION,2022-09-01,USD,1.00000000,FY2022 closing anchor,Additional paid-in capital
NIG-400,ACQ_OPENING_BS,ACQUISITION_DATE,2022-09-01,USD,1.00000000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-410,310100,CAPITAL_CONTRIBUTION,2024-07-01,EUR,1.04133215,closing spot 202407,Share capital
NIG-410,310200,CAPITAL_CONTRIBUTION,2024-07-01,EUR,1.04133215,closing spot 202407,Additional paid-in capital
NIG-410,ACQ_OPENING_BS,ACQUISITION_DATE,2024-07-01,EUR,1.04133215,closing spot 202407,Opening balance sheet translation base (FX-P16)
NIG-500,310100,CAPITAL_CONTRIBUTION,2020-01-01,USD,1.00000000,FY2022 closing anchor,Share capital
NIG-500,310200,CAPITAL_CONTRIBUTION,2020-01-01,USD,1.00000000,FY2022 closing anchor,Additional paid-in capital
NIG-500,ACQ_OPENING_BS,ACQUISITION_DATE,2020-01-01,USD,1.00000000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
NIG-510,310100,CAPITAL_CONTRIBUTION,2023-01-01,GBP,1.20830000,FY2022 closing anchor,Share capital
NIG-510,310200,CAPITAL_CONTRIBUTION,2023-01-01,GBP,1.20830000,FY2022 closing anchor,Additional paid-in capital
NIG-510,ACQ_OPENING_BS,ACQUISITION_DATE,2023-01-01,GBP,1.20830000,FY2022 closing anchor,Opening balance sheet translation base (FX-P16)
