table,code,name,parent_code,fiscal_year,scenario_type,fx_rate_set,actual_months,forecast_months,is_default,is_locked,approved_by,approved_date,is_reserved,sort_order,description
scenario,ACT,Actual,,,ACTUAL,ACTUAL,,,TRUE,FALSE,,,FALSE,10,Reported actual results sourced from the three ERP systems and translated at actual monthly average / closing rates.
scenario,BUD,Budget,,,BUDGET,BUDGET,,,FALSE,TRUE,,,FALSE,20,"Board-approved annual budget. Locked on approval, translated at locked budget rates, and never restated."
scenario,FC,Forecast,,,FORECAST,FORECAST,,,FALSE,FALSE,,,FALSE,30,Rolling forecast. Actual months to date plus forecast months to year end. Re-issued on a defined cycle as a new version.
scenario,PY,Prior Year,ACT,,DERIVED,ACTUAL,,,FALSE,TRUE,,,FALSE,40,Not stored. Derived from Actual by a 12-month date offset in the semantic layer (ADR-0004).
version,ACTUAL,Actual (single version),ACT,,ACTUAL,ACTUAL,,,TRUE,FALSE,,,FALSE,10,"Actuals carry a single version. Restatements are handled by adjustment postings, never by overwriting history."
version,BUD_FY25_V1,FY2025 Budget v1,BUD,2025,BUDGET,BUDGET,0,12,FALSE,TRUE,Board,2024-11-22,FALSE,20,FY2025 board-approved budget. Retained for prior-year budget comparison.
version,BUD_FY26_V1,FY2026 Budget v1,BUD,2026,BUDGET,BUDGET,0,12,TRUE,TRUE,Board,2025-11-28,FALSE,30,FY2026 board-approved budget. The default budget comparison for the current year.
version,FC_FY26_02,FY2026 Forecast 1+11,FC,2026,FORECAST,FORECAST,1,11,FALSE,TRUE,CFO,2026-02-18,FALSE,40,"First rolling forecast of FY2026, issued after the January close."
version,FC_FY26_05,FY2026 Forecast 4+8,FC,2026,FORECAST,FORECAST,4,8,FALSE,TRUE,CFO,2026-05-19,FALSE,50,Q1 reforecast. First recognition of European capital-equipment softness.
version,FC_FY26_08,FY2026 Forecast 8+4,FC,2026,FORECAST,FORECAST,8,4,TRUE,FALSE,CFO,2026-09-16,FALSE,60,Current live forecast. Reflects the Vector project slippage into FY2027 and the associated restructuring action.
version,FC_FY27_P1,FY2027 Plan (placeholder),FC,2027,FORECAST,FORECAST,0,12,FALSE,FALSE,,,FALSE,70,Placeholder proving the architecture is not bounded to a single fiscal year. Not populated in this engagement.
version,PY_DERIVED,Prior Year (Derived),PY,,DERIVED,ACTUAL,,,TRUE,TRUE,,,FALSE,45,"Prior Year, derived. Not loaded from any source system and not editable: every value is the approved Actual for the same month twelve months earlier (ADR-0004). It carries a governed version row because a version code that 12,516 mart rows join on must resolve to a version, and because deriving a figure is not a reason to leave its identity ungoverned (P7-D-01, ADR-0027)."
scenario,DS,Downside,,,DOWNSIDE,FORECAST,,,FALSE,FALSE,,,TRUE,35,"RESERVED. A stress case built on the same architecture as Forecast, reserved for a later phase to exercise covenant breach, waiver and equity-cure reporting. Not populated in the base dataset."
version,DS_FY26_STRESS,FY2026 Downside stress case,DS,2026,DOWNSIDE,FORECAST,8,4,FALSE,FALSE,,,TRUE,65,"RESERVED AND NOT POPULATED. Placeholder proving the architecture supports a stress case without distorting the base dataset. Intended to produce a realistic covenant breach or near-breach against the 4.50x FY2026 test so that waiver tracking, remediation reporting and the equity cure rights at credit agreement clause S7.3 can be exercised. Excluded from every default reporting view by CTL-SCN-06."
