control_id,control_name,severity,status,measured,threshold,detail
P6B1-HS-01,"Every sorted column maps one value to exactly one sort key, and back",BLOCKING,PASS,0,0,14 sort declarations across the model; a caption with two keys is what P6B-D-06 was
P6B1-HS-02,"The statement hierarchy sorts at caption grain, in the chart's order, never alphabetically",BLOCKING,PASS,"{'l1_extra_keys': 0, 'l2_extra_keys': 0, 'contiguous': True, 'same_order': True, 'alphabetical': False, 'first': ('Current Assets', 'Revenue')}","{'l1_extra_keys': 0, 'l2_extra_keys': 0, 'contiguous': True, 'same_order': True, 'alphabetical': False, 'first': ('Current Assets', 'Revenue')}","each caption's key is the smallest account sort order beneath it, so a caption sits where its first account sits on the governed chart"
P6B1-HS-03,The engine groups each caption once and drills to the accounts beneath it,BLOCKING,PASS,"{'duplicates': 0, 'accounts': 175, 'first': 'Cash and cash equivalents'}","{'duplicates': 0, 'accounts': 175, 'first': 'Cash and cash equivalents'}","61 level-2 captions, 175 accounts, the balance sheet first"
P6B1-SC-01,The consolidation bridge and the headline it reconciles to are read in the same period context,BLOCKING,PASS,0,0,"same synced period and basis slicers, no interaction switched off, no pinned year, a title that states the basis and month"
P6B1-BR-01,The month-grain bridge sums to the Phase 5 consolidation bridge for every layer and fiscal year,BLOCKING,PASS,"{'ebitda': 0.0, 'net_income': 0.0, 'entries': 0, 'rows': 20}","{'ebitda': 0.05, 'net_income': 0.05, 'entries': 0}","the same definitions as rpt_layer_bridge, at month grain; the mart stays frozen"
P6B1-BR-02,The statutory layers' EBITDA sums to [Statutory EBITDA] on the MTD basis,BLOCKING,PASS,0.0200,0.05,"layers 1+2+3+5 3,625,944.61 vs [Statutory EBITDA] 3,625,944.59 at 202608 MTD; the bridge and the statement round at different grains, hence the cent tolerance"
P6B1-BR-03,The statutory layers' EBITDA sums to [Statutory EBITDA] on the YTD basis,BLOCKING,PASS,0.0000,0.05,"layers 1+2+3+5 28,100,907.83 vs [Statutory EBITDA] 28,100,907.83 at 202608 YTD; the bridge and the statement round at different grains, hence the cent tolerance"
P6B1-BR-04,The statutory layers' EBITDA sums to [Statutory EBITDA] on the FY basis,BLOCKING,PASS,0.0000,0.05,"layers 1+2+3+5 29,202,425.43 vs [Statutory EBITDA] 29,202,425.43 at 202608 FY; the bridge and the statement round at different grains, hence the cent tolerance"
P6B1-BR-05,The statutory layers' Net Income sums to [Net Income] on the MTD basis,BLOCKING,PASS,0.0200,0.05,"layers 1+2+3+5 -78,300.81 vs [Net Income] -78,300.83 at 202608 MTD; the bridge and the statement round at different grains, hence the cent tolerance"
P6B1-BR-06,The statutory layers' Net Income sums to [Net Income] on the YTD basis,BLOCKING,PASS,0.0300,0.05,"layers 1+2+3+5 -939,022.79 vs [Net Income] -939,022.82 at 202608 YTD; the bridge and the statement round at different grains, hence the cent tolerance"
P6B1-BR-07,The statutory layers' Net Income sums to [Net Income] on the FY basis,BLOCKING,PASS,0.0300,0.05,"layers 1+2+3+5 -2,238,063.11 vs [Net Income] -2,238,063.14 at 202608 FY; the bridge and the statement round at different grains, hence the cent tolerance"
P6B1-BR-08,"The bridge is blank after the reporting close on every basis, like every Actual measure",BLOCKING,PASS,0,0,"202609..202612 on MTD, YTD and FY"
