COMPANY,FISCALYEAR,FISCALPERIOD,POSTINGDATE,JOURNALID,LINENUM,MAINACCOUNT,ACCOUNTNAME,NORMALBALANCE,DIMENSIONSTRING,DESCRIPTION,DOCUMENTNUM,DOCUMENTTYPE,TRANSACTIONTYPE,CURRENCYCODE,AMOUNT,CUSTOMERID,ITEMID,LINEATTRIBUTES
CAS-US,2024,11,11/28/2024,SA202411300000001,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-C417722,SI,SALES_INVOICE,USD,"9,599.24",C3000001,,
CAS-US,2024,11,11/28/2024,SA202411300000001,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-C417722,SI,SALES_INVOICE,USD,"9,599.24",C3000001,,
CAS-US,2024,11,11/12/2024,SA202411300000002,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-28A97B2,SI,SALES_INVOICE,USD,"14,789.60",C3000002,,
CAS-US,2024,11,11/12/2024,SA202411300000002,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-28A97B2,SI,SALES_INVOICE,USD,"14,789.60",C3000002,,
CAS-US,2024,11,11/07/2024,SA202411300000003,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-C10F5BF,SI,SALES_INVOICE,USD,"84,174.25",C3000003,,
CAS-US,2024,11,11/07/2024,SA202411300000003,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-C10F5BF,SI,SALES_INVOICE,USD,"84,174.25",C3000003,,
CAS-US,2024,11,11/14/2024,SA202411300000004,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-4D4B52C,SI,SALES_INVOICE,USD,"51,290.24",C3000004,,
CAS-US,2024,11,11/14/2024,SA202411300000004,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-4D4B52C,SI,SALES_INVOICE,USD,"51,290.24",C3000004,,
CAS-US,2024,11,11/25/2024,SA202411300000005,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-27CEA37,SI,SALES_INVOICE,USD,"37,254.18",C3000005,,
CAS-US,2024,11,11/25/2024,SA202411300000005,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-27CEA37,SI,SALES_INVOICE,USD,"37,254.18",C3000005,,
CAS-US,2024,11,11/11/2024,SA202411300000006,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-D2F3379,SI,SALES_INVOICE,USD,"66,335.32",C3000006,,
CAS-US,2024,11,11/11/2024,SA202411300000006,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-D2F3379,SI,SALES_INVOICE,USD,"66,335.32",C3000006,,
CAS-US,2024,11,11/11/2024,SA202411300000007,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-6661792,SI,SALES_INVOICE,USD,"35,914.61",C3000007,,
CAS-US,2024,11,11/11/2024,SA202411300000007,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-6661792,SI,SALES_INVOICE,USD,"35,914.61",C3000007,,
CAS-US,2024,11,11/26/2024,SA202411300000008,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-84A5570,SI,SALES_INVOICE,USD,"32,529.30",C3000008,,
CAS-US,2024,11,11/26/2024,SA202411300000008,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-84A5570,SI,SALES_INVOICE,USD,"32,529.30",C3000008,,
CAS-US,2024,11,11/20/2024,SA202411300000009,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-ECA7FCB,SI,SALES_INVOICE,USD,"26,087.82",C3000009,,
CAS-US,2024,11,11/20/2024,SA202411300000009,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-ECA7FCB,SI,SALES_INVOICE,USD,"26,087.82",C3000009,,
CAS-US,2024,11,11/04/2024,SA202411300000010,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-778BE5F,SI,SALES_INVOICE,USD,"28,194.51",C3000010,,
CAS-US,2024,11,11/04/2024,SA202411300000010,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-778BE5F,SI,SALES_INVOICE,USD,"28,194.51",C3000010,,
CAS-US,2024,11,11/26/2024,SA202411300000011,1,11000,Customer Receivables,D,300|D950|NOPROJ|NONE,Customer invoice,INV-8039347,SI,SALES_INVOICE,USD,"103,843.87",C3000011,,
CAS-US,2024,11,11/26/2024,SA202411300000011,2,40100,Service Revenue - T&M,C,300|D400|NOPROJ|NONE,Customer invoice,INV-8039347,SI,SALES_INVOICE,USD,"103,843.87",C3000011,,
