ic_transaction_id,period_key,seller_entity,buyer_entity,product_category,transfer_price_seller_local,seller_currency,seller_cost_local,ic_gross_profit_seller_local,ic_margin_pct,transfer_price_buyer_local,buyer_currency,transfer_price_usd,ic_gross_profit_usd,quantity,buyer_inventory_account
ICS-200210-202301,202301,NIG-200,NIG-210,FINISHED_GOODS,922115.62,USD,811461.75,110653.87,0.12,1262991.65,CAD,922115.62,110653.87,223,130300
ICS-200210-202302,202302,NIG-200,NIG-210,FINISHED_GOODS,814740.63,USD,716971.76,97768.88,0.12,1124560.66,CAD,814740.63,97768.88,210,130300
ICS-200210-202303,202303,NIG-200,NIG-210,FINISHED_GOODS,773243.53,USD,680454.31,92789.22,0.12,1071848.81,CAD,773243.53,92789.22,193,130300
ICS-200210-202304,202304,NIG-200,NIG-210,FINISHED_GOODS,759139.28,USD,668042.56,91096.71,0.12,1024554.66,CAD,759139.28,91096.71,282,130300
ICS-200210-202305,202305,NIG-200,NIG-210,FINISHED_GOODS,789954.27,USD,695159.76,94794.51,0.12,1062753.83,CAD,789954.27,94794.51,294,130300
ICS-200210-202306,202306,NIG-200,NIG-210,FINISHED_GOODS,837337.71,USD,736857.18,100480.52,0.12,1137440.0,CAD,837337.71,100480.52,359,130300
ICS-200210-202307,202307,NIG-200,NIG-210,FINISHED_GOODS,881177.04,USD,775435.8,105741.24,0.12,1203609.6,CAD,881177.04,105741.24,307,130300
ICS-200210-202308,202308,NIG-200,NIG-210,FINISHED_GOODS,946270.76,USD,832718.27,113552.49,0.12,1277353.33,CAD,946270.76,113552.49,421,130300
ICS-200210-202309,202309,NIG-200,NIG-210,FINISHED_GOODS,1012132.52,USD,890676.62,121455.9,0.12,1365589.32,CAD,1012132.52,121455.9,261,130300
ICS-200210-202310,202310,NIG-200,NIG-210,FINISHED_GOODS,987813.51,USD,869275.89,118537.62,0.12,1295143.0,CAD,987813.51,118537.62,308,130300
ICS-200210-202311,202311,NIG-200,NIG-210,FINISHED_GOODS,1010847.46,USD,889545.77,121301.7,0.12,1326057.95,CAD,1010847.46,121301.7,315,130300
ICS-200210-202312,202312,NIG-200,NIG-210,FINISHED_GOODS,933227.67,USD,821240.35,111987.32,0.12,1233635.89,CAD,933227.67,111987.32,355,130300
ICS-200500-202301,202301,NIG-200,NIG-500,SPARE_PARTS,570767.36,USD,502275.27,68492.08,0.12,570767.36,USD,570767.36,68492.08,273,130300
ICS-200500-202302,202302,NIG-200,NIG-500,SPARE_PARTS,481254.27,USD,423503.76,57750.51,0.12,481254.27,USD,481254.27,57750.51,238,130300
ICS-200500-202303,202303,NIG-200,NIG-500,SPARE_PARTS,486843.16,USD,428421.98,58421.18,0.12,486843.16,USD,486843.16,58421.18,221,130300
ICS-200500-202304,202304,NIG-200,NIG-500,SPARE_PARTS,457283.01,USD,402409.05,54873.96,0.12,457283.01,USD,457283.01,54873.96,154,130300
