SUBSIDIARY,PERIOD,TRANDATE,JOURNAL_ID,LINE_ID,ACCOUNT,ACCOUNT_NAME,DEPARTMENT,CLASS,LOCATION,MEMO,DOCUMENT_NUMBER,DOCUMENT_TYPE,CURRENCY,AMOUNT,AMOUNT_USD_SYSTEM,SUBSIDIARY_PARTNER,CUSTOMER,ITEM,LINE_ATTRIBUTES
NIG-200,11,2024-11-26,AU202411200000001,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-3D27FDE,SI,USD,15795.47,15795.47,,C2000001,,
NIG-200,11,2024-11-26,AU202411200000001,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-3D27FDE,SI,USD,-15795.47,-15795.47,,C2000001,,product_group=EQUIPMENT
NIG-200,11,2024-11-30,AU202411200000002,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-E80A474,SI,USD,13307.47,13307.47,,C2000002,,
NIG-200,11,2024-11-30,AU202411200000002,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-E80A474,SI,USD,-13307.47,-13307.47,,C2000002,,product_group=EQUIPMENT
NIG-200,11,2024-11-22,AU202411200000003,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-D512A0E,SI,USD,21128.40,21128.40,,C2000003,,
NIG-200,11,2024-11-22,AU202411200000003,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-D512A0E,SI,USD,-21128.40,-21128.40,,C2000003,,product_group=EQUIPMENT
NIG-200,11,2024-11-04,AU202411200000004,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-434ACE2,SI,USD,16580.40,16580.40,,C2000004,,
NIG-200,11,2024-11-04,AU202411200000004,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-434ACE2,SI,USD,-16580.40,-16580.40,,C2000004,,product_group=EQUIPMENT
NIG-200,11,2024-11-30,AU202411200000005,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-FD26AE0,SI,USD,15783.10,15783.10,,C2000005,,
NIG-200,11,2024-11-30,AU202411200000005,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-FD26AE0,SI,USD,-15783.10,-15783.10,,C2000005,,product_group=EQUIPMENT
NIG-200,11,2024-11-27,AU202411200000006,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-F0A1DEA,SI,USD,17042.10,17042.10,,C2000006,,
NIG-200,11,2024-11-27,AU202411200000006,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-F0A1DEA,SI,USD,-17042.10,-17042.10,,C2000006,,product_group=EQUIPMENT
NIG-200,11,2024-11-01,AU202411200000007,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-CEE730A,SI,USD,17660.24,17660.24,,C2000007,,
NIG-200,11,2024-11-01,AU202411200000007,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-CEE730A,SI,USD,-17660.24,-17660.24,,C2000007,,product_group=EQUIPMENT
NIG-200,11,2024-11-11,AU202411200000008,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-BCA1B65,SI,USD,6072.97,6072.97,,C2000008,,
NIG-200,11,2024-11-11,AU202411200000008,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-BCA1B65,SI,USD,-6072.97,-6072.97,,C2000008,,product_group=EQUIPMENT
NIG-200,11,2024-11-25,AU202411200000009,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-A723B2E,SI,USD,16214.32,16214.32,,C2000009,,
NIG-200,11,2024-11-25,AU202411200000009,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-A723B2E,SI,USD,-16214.32,-16214.32,,C2000009,,product_group=EQUIPMENT
NIG-200,11,2024-11-21,AU202411200000010,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-7833973,SI,USD,102112.75,102112.75,,C2000010,,
NIG-200,11,2024-11-21,AU202411200000010,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-7833973,SI,USD,-102112.75,-102112.75,,C2000010,,product_group=EQUIPMENT
NIG-200,11,2024-11-01,AU202411200000011,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-94AC940,SI,USD,23886.85,23886.85,,C2000011,,
NIG-200,11,2024-11-01,AU202411200000011,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-94AC940,SI,USD,-23886.85,-23886.85,,C2000011,,product_group=EQUIPMENT
NIG-200,11,2024-11-11,AU202411200000012,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-AED7AA0,SI,USD,7226.02,7226.02,,C2000012,,
NIG-200,11,2024-11-11,AU202411200000012,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-AED7AA0,SI,USD,-7226.02,-7226.02,,C2000012,,product_group=EQUIPMENT
NIG-200,11,2024-11-25,AU202411200000013,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-61E55C6,SI,USD,49618.99,49618.99,,C2000013,,
NIG-200,11,2024-11-25,AU202411200000013,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-61E55C6,SI,USD,-49618.99,-49618.99,,C2000013,,product_group=EQUIPMENT
NIG-200,11,2024-11-28,AU202411200000014,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-4432BDE,SI,USD,12286.61,12286.61,,C2000014,,
NIG-200,11,2024-11-28,AU202411200000014,2,4000,Revenue - Equipment,DEPT-D400,SALES_INVOICE,LOC-200,Customer invoice,INV-4432BDE,SI,USD,-12286.61,-12286.61,,C2000014,,product_group=EQUIPMENT
NIG-200,11,2024-11-04,AU202411200000015,1,1100,Accounts Receivable - Trade,DEPT-D950,SALES_INVOICE,LOC-200,Customer invoice,INV-60AB7FC,SI,USD,66517.78,66517.78,,C2000015,,
