rule_id,erp_system,source_account,priority,condition,target_group_account,rule_class,effective_from,effective_to,is_active,basis,notes
AUR-1160-10,AURORA,1160,10,maturity_months <= 12,125100,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 1160,"Aurora holds one notes-receivable account. The current/non-current split comes from the loan master, carried on the line."
AUR-1160-99,AURORA,1160,999,TRUE,175100,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 1160,
AUR-2060-10,AURORA,2060,10,maturity_months <= 12,225100,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 2060,
AUR-2060-99,AURORA,2060,999,TRUE,235100,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 2060,
AUR-5100-10,AURORA,5100,10,dept_code IN ('D525'),520200,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 5100,"Facilities overhead booked to the corporate facilities department is absorbed into cost of sales."
AUR-5100-20,AURORA,5100,20,"dept_code IN ('D115','D120')",520300,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 5100,"Supply chain and warehouse overhead is consumables, not indirect labour. The rule is on the department CODE and not on its function: D105 and D110 share the indirect-operations function but belong in indirect labour."
AUR-5100-99,AURORA,5100,999,TRUE,520100,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 5100,
AUR-5900-10,AURORA,5900,10,partner_bu = 'IS',590200,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 5900,
AUR-5900-99,AURORA,5900,999,TRUE,590100,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 5900,
AUR-6100-10,AURORA,6100,10,dept_code IN ('D100'),515100,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6100,"THE MATERIAL MAPPING PROBLEM. Aurora books all payroll to one account whether the labour is direct, indirect or SG&A, so gross margin is not derivable from the account code alone. See ADR-0007 and CTL-MAP-04."
AUR-6100-20,AURORA,6100,20,"dept_code IN ('D200','D205','D300','D305','D310')",515200,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6100,"Field and project labour is direct labour delivered on site."
AUR-6100-30,AURORA,6100,30,"dept_code IN ('D105','D110','D115','D120','D210','D215')",520100,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6100,"Indirect operations labour is absorbed as production overhead."
AUR-6100-99,AURORA,6100,999,TRUE,610100,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 6100,
AUR-6110-10,AURORA,6110,10,"dept_code IN ('D100','D105','D110','D115','D120','D200','D205','D210','D215','D300','D305','D310')",515300,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6110,"Benefits follow the payroll they burden: the same department set as 6100."
AUR-6110-99,AURORA,6110,999,TRUE,610200,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 6110,
AUR-6120-10,AURORA,6120,10,"dept_code IN ('D100','D105','D110','D115','D120','D200','D205','D210','D215','D300','D305','D310')",515300,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6120,"Payroll taxes follow the payroll they burden."
AUR-6120-99,AURORA,6120,999,TRUE,610300,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 6120,
AUR-6150-10,AURORA,6150,10,"dept_code IN ('D100','D200','D205')",510300,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6150,"Contract labour in production and field departments is a cost of sale."
AUR-6150-99,AURORA,6150,999,TRUE,610600,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 6150,
AUR-6200-10,AURORA,6200,10,"dept_code IN ('D100','D120')",520200,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6200,"Plant and warehouse occupancy is absorbed into cost of sales."
AUR-6200-99,AURORA,6200,999,TRUE,620100,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 6200,
AUR-6210-10,AURORA,6210,10,"dept_code IN ('D100','D120')",520200,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6210,
AUR-6210-99,AURORA,6210,999,TRUE,620200,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 6210,
AUR-6320-10,AURORA,6320,10,dept_code = 'D910',680400,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6320,"Consulting booked to the transformation department is non-recurring and belongs in the add-back block."
AUR-6320-20,AURORA,6320,20,dept_code = 'D905',680300,SPLIT_BRANCH,2019-01-01,,TRUE,source_coa_aurora.csv 6320,"Corporate development consulting is transaction cost."
AUR-6320-99,AURORA,6320,999,TRUE,630300,SPLIT_DEFAULT,2019-01-01,,TRUE,source_coa_aurora.csv 6320,
