ppa_id,acquisition_id,intangible_class,group_account,gross_usd_m,useful_life_years,amortisation_start_period,accumulated_amortisation_at_open_usd_m,notes
PPA-001-S,ACQ-001,CUSTOMER_RELATIONSHIPS,165100,0.429268,2.00,202301,0.000000,"The short-dated part of this acquisition's remaining intangible block, fully amortised by the end of FY2024. Stated net of amortisation taken before the window opened, so the opening balance IS the net book value."
PPA-001-L,ACQ-001,TECHNOLOGY,165200,15.570732,10.53,202301,0.000000,The long-dated part of this acquisition's remaining intangible block.
PPA-002-S,ACQ-002,CUSTOMER_RELATIONSHIPS,165100,0.080488,2.00,202301,0.000000,"The short-dated part of this acquisition's remaining intangible block, fully amortised by the end of FY2024. Stated net of amortisation taken before the window opened, so the opening balance IS the net book value."
PPA-002-L,ACQ-002,TECHNOLOGY,165200,2.919512,10.53,202301,0.000000,The long-dated part of this acquisition's remaining intangible block.
PPA-005-S,ACQ-005,CUSTOMER_RELATIONSHIPS,165100,0.295122,2.00,202301,0.000000,"The short-dated part of this acquisition's remaining intangible block, fully amortised by the end of FY2024. Stated net of amortisation taken before the window opened, so the opening balance IS the net book value."
PPA-005-L,ACQ-005,TECHNOLOGY,165200,10.704878,10.53,202301,0.000000,The long-dated part of this acquisition's remaining intangible block.
PPA-006-S,ACQ-006,CUSTOMER_RELATIONSHIPS,165100,0.053659,2.00,202301,0.000000,"The short-dated part of this acquisition's remaining intangible block, fully amortised by the end of FY2024. Stated net of amortisation taken before the window opened, so the opening balance IS the net book value."
PPA-006-L,ACQ-006,TECHNOLOGY,165200,1.946341,10.53,202301,0.000000,The long-dated part of this acquisition's remaining intangible block.
PPA-007-S,ACQ-007,CUSTOMER_RELATIONSHIPS,165100,0.080488,2.00,202301,0.000000,"The short-dated part of this acquisition's remaining intangible block, fully amortised by the end of FY2024. Stated net of amortisation taken before the window opened, so the opening balance IS the net book value."
PPA-007-L,ACQ-007,TECHNOLOGY,165200,2.919512,10.53,202301,0.000000,The long-dated part of this acquisition's remaining intangible block.
PPA-008-S,ACQ-008,CUSTOMER_RELATIONSHIPS,165100,0.107317,2.00,202301,0.000000,"The short-dated part of this acquisition's remaining intangible block, fully amortised by the end of FY2024. Stated net of amortisation taken before the window opened, so the opening balance IS the net book value."
PPA-008-L,ACQ-008,TECHNOLOGY,165200,3.892683,10.53,202301,0.000000,The long-dated part of this acquisition's remaining intangible block.
PPA-009-S,ACQ-009,CUSTOMER_RELATIONSHIPS,165100,0.053659,2.00,202301,0.000000,"The short-dated part of this acquisition's remaining intangible block, fully amortised by the end of FY2024. Stated net of amortisation taken before the window opened, so the opening balance IS the net book value."
PPA-009-L,ACQ-009,TECHNOLOGY,165200,1.946341,10.53,202301,0.000000,The long-dated part of this acquisition's remaining intangible block.
PPA-010-C,ACQ-010,CUSTOMER_RELATIONSHIPS,165100,12.000000,10.00,202304,0.000000,Halden's customer contracts and relationships.
PPA-010-T,ACQ-010,TECHNOLOGY,165200,6.000000,8.00,202304,0.000000,Halden's valve design and qualification technology.
PPA-011-C,ACQ-011,CUSTOMER_RELATIONSHIPS,165100,9.000000,10.00,202407,0.000000,Vector Systems' installed-base service relationships.
PPA-011-T,ACQ-011,TECHNOLOGY,165200,4.500000,8.00,202407,0.000000,Vector Systems' control system software and configuration libraries.
