customer_code,customer_name,customer_group_code,customer_group_name,industry_sector,country_code,billing_entity,channel,payment_terms_days,first_order_date,is_key_account,is_active
C2000001,Thornbury Refining Industries - 200 001,CG0020,Thornbury Refining Industries,Pharmaceutical,US,NIG-200,DIRECT,45,2020-01-20,TRUE,TRUE
C2000002,Vale Foods Group - 200 002,CG0172,Vale Foods Group,Food & Beverage,US,NIG-200,DIRECT,75,2022-12-06,FALSE,TRUE
C2000003,Baytown Utilities Ltd. - 200 003,CG0002,Baytown Utilities Ltd.,Food & Beverage,US,NIG-200,DIRECT,75,2020-12-03,TRUE,TRUE
C2000004,Zenith Chemicals Corporation - 200 004,CG0025,Zenith Chemicals Corporation,Refining & Petrochemical,US,NIG-200,DIRECT,45,2019-01-01,TRUE,TRUE
C2000005,Ironside Minerals Holdings - 200 005,CG0009,Ironside Minerals Holdings,Refining & Petrochemical,US,NIG-200,DISTRIBUTOR,75,2019-01-03,TRUE,TRUE
C2000006,Zenith Petrochemical plc - 200 006,CG0125,Zenith Petrochemical plc,General Industrial,US,NIG-200,DIRECT,45,2024-10-17,FALSE,TRUE
C2000007,Cedar Ridge Energy Works - 200 007,CG0003,Cedar Ridge Energy Works,Chemicals,US,NIG-200,DIRECT,45,2022-12-25,TRUE,TRUE
C2000008,Foxbridge Refining Industries - 200 008,CG0056,Foxbridge Refining Industries,General Industrial,US,NIG-200,DIRECT,45,2020-02-08,FALSE,TRUE
C2000009,Thornbury Petrochemical plc - 200 009,CG0245,Thornbury Petrochemical plc,Pharmaceutical,US,NIG-200,DIRECT,45,2021-07-08,FALSE,TRUE
C2000010,Foxbridge Utilities Ltd. - 200 010,CG0206,Foxbridge Utilities Ltd.,Water Treatment,US,NIG-200,DIRECT,30,2021-06-13,FALSE,TRUE
C2000011,Delta Point Foods Group - 200 011,CG0004,Delta Point Foods Group,Food & Beverage,US,NIG-200,DIRECT,30,2024-02-25,TRUE,TRUE
C2000012,Oakfield Paper Inc. - 200 012,CG0215,Oakfield Paper Inc.,Food & Beverage,US,NIG-200,DISTRIBUTOR,60,2021-05-30,FALSE,TRUE
C2000013,Harlow Paper Inc. - 200 013,CG0083,Harlow Paper Inc.,Power Generation,US,NIG-200,DIRECT,45,2024-02-04,FALSE,TRUE
C2000014,Oakfield Industrial B.V. - 200 014,CG0240,Oakfield Industrial B.V.,Power Generation,US,NIG-200,DIRECT,45,2024-10-19,FALSE,TRUE
C2000015,Eastgate Petrochemical plc - 200 015,CG0005,Eastgate Petrochemical plc,Pulp & Paper,US,NIG-200,DIRECT,30,2023-01-28,TRUE,TRUE
C2000016,Foxbridge Metals LLC - 200 016,CG0006,Foxbridge Metals LLC,General Industrial,US,NIG-200,DIRECT,45,2020-01-28,TRUE,TRUE
C2000017,Delta Point Metals LLC - 200 017,CG0054,Delta Point Metals LLC,Pulp & Paper,US,NIG-200,DIRECT,30,2020-07-17,FALSE,TRUE
C2000018,Granville Processing GmbH - 200 018,CG0007,Granville Processing GmbH,Chemicals,US,NIG-200,DIRECT,60,2021-10-11,TRUE,TRUE
C2000019,Larkfield Industrial B.V. - 200 019,CG0012,Larkfield Industrial B.V.,General Industrial,US,NIG-200,DIRECT,60,2024-03-05,TRUE,TRUE
C2000020,Kestrel Bay Industrial B.V. - 200 020,CG0036,Kestrel Bay Industrial B.V.,Water Treatment,US,NIG-200,DIRECT,75,2022-10-19,FALSE,TRUE
C2000021,Upton Paper Inc. - 200 021,CG0071,Upton Paper Inc.,General Industrial,US,NIG-200,DIRECT,75,2020-09-16,FALSE,TRUE
C2000022,Yarrow Utilities Ltd. - 200 022,CG0074,Yarrow Utilities Ltd.,Pharmaceutical,US,NIG-200,DIRECT,45,2023-06-28,FALSE,TRUE
C2000023,Upton Minerals Holdings - 200 023,CG0021,Upton Minerals Holdings,Pharmaceutical,US,NIG-200,DIRECT,45,2022-11-20,TRUE,TRUE
C2000024,Ashford Chemicals Corporation - 200 024,CG0001,Ashford Chemicals Corporation,Food & Beverage,US,NIG-200,DIRECT,45,2025-01-23,TRUE,TRUE
C2000025,Harlow Water Partners - 200 025,CG0058,Harlow Water Partners,Power Generation,US,NIG-200,DISTRIBUTOR,30,2021-03-29,FALSE,TRUE
C2000026,Delta Point Foods Group - 200 026,CG0004,Delta Point Foods Group,General Industrial,US,NIG-200,DIRECT,30,2019-07-03,TRUE,TRUE
C2000027,Oakfield Water Partners - 200 027,CG0190,Oakfield Water Partners,Chemicals,US,NIG-200,DIRECT,60,2020-07-01,FALSE,TRUE
C2000028,Ashford Chemicals Corporation - 200 028,CG0001,Ashford Chemicals Corporation,Pulp & Paper,US,NIG-200,DIRECT,30,2024-02-10,TRUE,TRUE
C2000029,Ashford Chemicals Corporation - 200 029,CG0001,Ashford Chemicals Corporation,Refining & Petrochemical,US,NIG-200,DIRECT,45,2019-09-27,TRUE,TRUE
