currency_code,fiscal_year,rate_set,average_rate_usd,closing_rate_usd
CAD,2022,ACTUAL,0.7690,0.7383
GBP,2022,ACTUAL,1.2370,1.2083
EUR,2022,ACTUAL,1.0530,1.0666
CAD,2023,ACTUAL,0.7410,0.7561
GBP,2023,ACTUAL,1.2440,1.2745
EUR,2023,ACTUAL,1.0815,1.1050
CAD,2024,ACTUAL,0.7300,0.6959
GBP,2024,ACTUAL,1.2785,1.2520
EUR,2024,ACTUAL,1.0825,1.0355
CAD,2025,ACTUAL,0.7180,0.7250
GBP,2025,ACTUAL,1.2950,1.3400
EUR,2025,ACTUAL,1.1050,1.1650
CAD,2026,BUDGET,0.7200,0.7200
GBP,2026,BUDGET,1.2900,1.2900
EUR,2026,BUDGET,1.0900,1.0900
CAD,2026,FORECAST,0.7310,0.7350
GBP,2026,FORECAST,1.3450,1.3500
EUR,2026,FORECAST,1.1600,1.1700
USD,2022,ACTUAL,1.0000,1.0000
USD,2023,ACTUAL,1.0000,1.0000
USD,2024,ACTUAL,1.0000,1.0000
USD,2025,ACTUAL,1.0000,1.0000
USD,2026,BUDGET,1.0000,1.0000
USD,2026,FORECAST,1.0000,1.0000
