department_code,department_name,function_group,cost_type,pl_destination,is_direct,applies_to_bu,headcount_bearing,description
D100,Production & Assembly,OPERATIONS,DIRECT,COS,TRUE,"FC;AM",TRUE,"Machining, assembly and test cells. Direct production labour and manufacturing overhead."
D105,Manufacturing Engineering,OPERATIONS,INDIRECT,COS,FALSE,"FC;ES",TRUE,"Process, tooling and industrialisation engineering absorbed into cost of sales."
D110,Quality Assurance,OPERATIONS,INDIRECT,COS,FALSE,"FC;ES;AM",TRUE,"Inspection, certification and warranty administration."
D115,Supply Chain & Planning,OPERATIONS,INDIRECT,COS,FALSE,"FC;AM;ES",TRUE,"Production planning, materials management and inbound logistics."
D120,Warehouse & Distribution,OPERATIONS,INDIRECT,COS,FALSE,"AM;FC",TRUE,"Pick, pack, ship and inventory control for the parts business."
D200,Field Operations,OPERATIONS,DIRECT,COS,TRUE,"IS",TRUE,"Billable field technicians, riggers and millwrights. The dominant cost pool in Industrial Services."
D205,Turnaround Delivery,OPERATIONS,DIRECT,COS,TRUE,"IS",TRUE,"Planned shutdown and turnaround crews mobilised on campaign work."
D210,Equipment & Fleet,OPERATIONS,INDIRECT,COS,FALSE,"IS",FALSE,"Owned and rented tooling, cranes and vehicles supporting field crews."
D215,Field Safety & Compliance,OPERATIONS,INDIRECT,COS,FALSE,"IS",TRUE,"HSE supervision and certification for field operations."
D300,Project Engineering,OPERATIONS,DIRECT,COS,TRUE,"ES",TRUE,"Chargeable design, controls and systems engineering on customer projects."
D305,Project Management,OPERATIONS,DIRECT,COS,TRUE,"ES",TRUE,"Project managers and planners costed to contracts under the cost-to-cost method."
D310,Commissioning & Start-up,OPERATIONS,DIRECT,COS,TRUE,"ES",TRUE,"Site commissioning, factory acceptance testing and customer handover."
D400,Sales,COMMERCIAL,INDIRECT,OPEX,FALSE,"FC;IS;ES;AM",TRUE,"Field sales, account management and applications support."
D405,Marketing,COMMERCIAL,INDIRECT,OPEX,FALSE,"FC;IS;ES;AM",TRUE,"Product marketing, campaigns, trade shows and digital."
D410,Customer Service & Inside Sales,COMMERCIAL,INDIRECT,OPEX,FALSE,"AM;FC",TRUE,"Order desk, quotations and customer support."
D415,Bid & Proposals,COMMERCIAL,INDIRECT,OPEX,FALSE,"ES;IS",TRUE,"Estimating and proposal development for tendered work."
D500,Finance & Accounting,SUPPORT,INDIRECT,OPEX,FALSE,"FC;IS;ES;AM;CORP",TRUE,"Entity controllership, accounts payable, accounts receivable and reporting."
D505,Human Resources,SUPPORT,INDIRECT,OPEX,FALSE,"FC;IS;ES;AM;CORP",TRUE,"Talent acquisition, payroll administration, learning and employee relations."
D510,Information Technology,SUPPORT,INDIRECT,OPEX,FALSE,"FC;IS;ES;AM;CORP",TRUE,"Infrastructure, applications, ERP support and cyber security."
D515,Legal & Risk,SUPPORT,INDIRECT,OPEX,FALSE,"CORP",TRUE,"Contracts, compliance, insurance and litigation management."
D520,Procurement,SUPPORT,INDIRECT,OPEX,FALSE,"FC;AM;CORP",TRUE,"Strategic sourcing and category management."
D525,Facilities & Real Estate,SUPPORT,INDIRECT,OPEX,FALSE,"FC;IS;ES;AM;CORP",FALSE,"Rent, occupancy, utilities and site maintenance. Non-headcount-bearing cost centre."
D900,Executive & Governance,SUPPORT,INDIRECT,OPEX,FALSE,"CORP",TRUE,"Group executive team, board costs and sponsor monitoring fee."
D905,Corporate Development,SUPPORT,INDIRECT,OPEX,FALSE,"CORP",TRUE,"M&A origination, diligence and post-merger integration. Bears most acquisition-related one-time cost."
D910,Transformation & ERP Programme,SUPPORT,INDIRECT,OPEX,FALSE,"CORP",TRUE,"The multi-year ERP consolidation and finance transformation programme. All spend is flagged as a non-recurring add-back."
D950,Unallocated / Entity Overhead,SUPPORT,INDIRECT,OPEX,FALSE,"FC;IS;ES;AM;CORP",FALSE,"Entity-level costs not attributable to a specific function, including local statutory and audit fees."
