control_id,control_name,severity,status,measured,threshold,detail
P7-REG-01,Every keyed object in the warehouse is declared in the registry,BLOCKING,PASS,0,0,"61 objects in scope, all declared"
P7-REG-02,Every registry entry names an object that exists,BLOCKING,PASS,0,0,"61 declarations, all resolve"
P7-REG-03,Every declared key column exists on its object,BLOCKING,PASS,0,0,
P7-REG-04,Every keyless waiver carries a reason,BLOCKING,PASS,0,0,no waivers in force
P7-KEY-dim_date,"dim_date is unique on its declared key (period_key, accounting_period)",BLOCKING,PASS,0 duplicate rows,0,"60 rows, 60 distinct keys; owner Phase 3; authority config/calendar.yml"
P7-NUL-dim_date,dim_date has no null in an unpermitted key column,BLOCKING,PASS,0,0,2 of 2 key columns must never be null
P7-NUL-dim_date-declared,dim_date states a reason for every nullable key column,BLOCKING,PASS,coherent,coherent,a nullable key column needs a reason a reviewer would accept
P7-KEY-dim_entity,dim_entity is unique on its declared key (entity_code),BLOCKING,PASS,0 duplicate rows,0,"15 rows, 15 distinct keys; owner Phase 3; authority config/masters/entities.yml"
P7-NUL-dim_entity,dim_entity has no null in an unpermitted key column,BLOCKING,PASS,0,0,1 of 1 key columns must never be null
P7-NUL-dim_entity-declared,dim_entity states a reason for every nullable key column,BLOCKING,PASS,coherent,coherent,a nullable key column needs a reason a reviewer would accept
P7-KEY-dim_business_unit,dim_business_unit is unique on its declared key (bu_code),BLOCKING,PASS,0 duplicate rows,0,"5 rows, 5 distinct keys; owner Phase 3; authority config/masters/business_units.yml"
P7-NUL-dim_business_unit,dim_business_unit has no null in an unpermitted key column,BLOCKING,PASS,0,0,1 of 1 key columns must never be null
P7-NUL-dim_business_unit-declared,dim_business_unit states a reason for every nullable key column,BLOCKING,PASS,coherent,coherent,a nullable key column needs a reason a reviewer would accept
P7-KEY-dim_account,dim_account is unique on its declared key (group_account),BLOCKING,PASS,0 duplicate rows,0,"188 rows, 188 distinct keys; owner Phase 3; authority config/masters/group_chart_of_accounts.csv"
P7-NUL-dim_account,dim_account has no null in an unpermitted key column,BLOCKING,PASS,0,0,1 of 1 key columns must never be null
P7-NUL-dim_account-declared,dim_account states a reason for every nullable key column,BLOCKING,PASS,coherent,coherent,a nullable key column needs a reason a reviewer would accept
