entity_code,entity_name,short_name,legal_form,country_code,country_name,region,functional_currency,erp_system,erp_company_code,primary_business_unit,parent_entity_code,ownership_pct,nci_pct,consolidation_method,entity_type,consolidation_effective_from,consolidation_effective_to,acquisition_date,acquisition_type,is_elimination_entity,is_active,notes
NIG-100,"Northstar Industrial Group, Inc.",Northstar Topco,Corporation,US,United States,North America,USD,AURORA,NIG100,CORP,,1.0000,0.0000,PARENT,OPERATING,2019-01-01,,2019-01-01,PLATFORM,FALSE,TRUE,"Topco and group treasury. Holds all external debt and the interest rate swap. Lender of record on all intercompany loans."
NIG-110,Northstar Shared Services LLC,Shared Services,LLC,US,United States,North America,USD,AURORA,NIG110,CORP,NIG-100,1.0000,0.0000,FULL,OPERATING,2019-07-01,,2019-07-01,ORGANIC,FALSE,TRUE,"Group finance, HR, IT and procurement. Recovers cost base via a 2.5% management fee charged to operating entities."
NIG-200,"Meridian Flow Controls, Inc.",Meridian US,Corporation,US,United States,North America,USD,AURORA,NIG200,FC,NIG-100,1.0000,0.0000,FULL,OPERATING,2019-01-01,,2019-01-01,PLATFORM,FALSE,TRUE,"Original platform acquisition. Manufactures pumps, valves and flow instrumentation in Ohio. Owns group product IP licensed to NIG-220."
NIG-210,Meridian Flow Controls Canada ULC,Meridian Canada,ULC,CA,Canada,North America,CAD,AURORA,NIG210,FC,NIG-200,1.0000,0.0000,FULL,OPERATING,2019-01-01,,2019-01-01,PLATFORM,FALSE,TRUE,"Ontario manufacturing and distribution. Buys finished goods from NIG-200 at cost plus 12%."
NIG-220,Halden Valve GmbH,Halden Valve,GmbH,DE,Germany,EMEA,EUR,KESTREL,1000,FC,NIG-100,1.0000,0.0000,FULL,OPERATING,2023-04-01,,2023-04-01,ACQUISITION,FALSE,TRUE,"Acquired 1 Apr 2023 for USD 52.0m. Retains its legacy Kestrel ERP. Nine months only in FY2023. Pays a 1.5% technology royalty to NIG-200."
NIG-300,Cascade Industrial Services LLC,Cascade US,LLC,US,United States,North America,USD,SABLE,CAS-US,IS,NIG-100,1.0000,0.0000,FULL,OPERATING,2021-03-01,,2021-03-01,ACQUISITION,FALSE,TRUE,"Acquired Mar 2021. Field mechanical services and turnarounds, Gulf Coast. Runs Sable ERP with project accounting."
NIG-310,Cascade Industrial Services Canada Ltd.,Cascade Canada,Limited,CA,Canada,North America,CAD,SABLE,CAS-CA,IS,NIG-300,1.0000,0.0000,FULL,OPERATING,2021-03-01,,2021-03-01,ACQUISITION,FALSE,TRUE,"Alberta field services. Recharges crews to NIG-300 for US turnaround work at cost plus 5%."
NIG-320,Tyneside Mechanical Services Ltd.,Tyneside,Limited,GB,United Kingdom,EMEA,GBP,KESTREL,2000,IS,NIG-100,1.0000,0.0000,FULL,OPERATING,2022-02-01,,2022-02-01,ACQUISITION,FALSE,TRUE,"Acquired Feb 2022. North East England mechanical and rotating equipment services. Statutory year end is 31 March; reports to group on a calendar basis."
NIG-400,"Vector Engineered Systems, Inc.",Vector US,Corporation,US,United States,North America,USD,SABLE,VEC-US,ES,NIG-100,1.0000,0.0000,FULL,OPERATING,2022-09-01,,2022-09-01,ACQUISITION,FALSE,TRUE,"Custom-engineered skid packages and automation. Revenue recognised over time on the cost-to-cost method. Largest source of contract assets and liabilities."
NIG-410,Vector Systems B.V.,Vector BV,B.V.,NL,Netherlands,EMEA,EUR,KESTREL,3000,ES,NIG-400,1.0000,0.0000,FULL,OPERATING,2024-07-01,,2024-07-01,ACQUISITION,FALSE,TRUE,"Acquired 1 Jul 2024 for USD 38.0m. Six months only in FY2024. European engineering and integration centre."
NIG-500,"Northstar Aftermarket Solutions, Inc.",Aftermarket US,Corporation,US,United States,North America,USD,AURORA,NIG500,AM,NIG-100,1.0000,0.0000,FULL,OPERATING,2020-01-01,,2020-01-01,CARVE_OUT,FALSE,TRUE,"Carved out of NIG-200 on 1 Jan 2020 to run spares and aftermarket as a distinct P&L. Highest gross margin in the group."
NIG-510,Northstar Parts UK Ltd.,Parts UK,Limited,GB,United Kingdom,EMEA,GBP,KESTREL,2100,AM,NIG-500,0.8000,0.2000,FULL,OPERATING,2023-01-01,,2023-01-01,ACQUISITION,FALSE,TRUE,"80% owned; 20% retained by the founding management team. The only entity giving rise to non-controlling interests. Fully consolidated with NCI presented separately."
ELIM-IC,Intercompany Eliminations,IC Eliminations,N/A,XX,Not applicable,Group,USD,CONSOL,ELIM-IC,CORP,NIG-100,1.0000,0.0000,ELIMINATION,ELIMINATION,2019-01-01,,,,TRUE,TRUE,"Virtual entity carrying all intercompany elimination postings. Never receives source ERP data."
ELIM-CON,Consolidation Adjustments,Consol Adjustments,N/A,XX,Not applicable,Group,USD,CONSOL,ELIM-CON,CORP,NIG-100,1.0000,0.0000,ELIMINATION,ELIMINATION,2019-01-01,,,,TRUE,TRUE,"Virtual entity carrying investment-in-subsidiary eliminations, NCI allocation, purchase-price-allocation entries and unrealised profit in inventory."
ELIM-MGT,Management Adjustments,Mgmt Adjustments,N/A,XX,Not applicable,Group,USD,CONSOL,ELIM-MGT,CORP,NIG-100,1.0000,0.0000,ELIMINATION,ELIMINATION,2019-01-01,,,,TRUE,TRUE,"Virtual entity carrying management/normalisation adjustments. Excluded from the statutory consolidated result; included in the management view only."
