parent_entity,subsidiary_entity,period_key,opening_cost_usd,additions_usd,disposals_usd,closing_cost_usd,ownership_pct,nci_pct,carrying_currency,event_type,investment_id,first_consolidated_period
NIG-100,NIG-110,202301,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202302,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202303,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202304,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202305,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202306,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202307,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202308,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202309,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202310,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202311,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202312,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202401,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202402,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202403,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202404,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202405,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202406,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202407,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202408,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202409,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202410,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202411,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202412,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202501,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202502,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202503,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202504,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202505,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202506,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202507,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202508,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202509,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202510,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202511,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202512,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202601,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202602,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202603,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202604,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202605,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202606,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202607,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-110,202608,2000000.0,0.0,0.0,2000000.0,1.0,0.0,USD,NONE,,201907
NIG-100,NIG-200,202301,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202302,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202303,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202304,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202305,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202306,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202307,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202308,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202309,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202310,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202311,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202312,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202401,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
NIG-100,NIG-200,202402,118000000.0,0.0,0.0,118000000.0,1.0,0.0,USD,NONE,,201901
