group_account,account_name,statement,fs_caption_l1,fs_caption_l2,account_class,normal_balance,fx_method,cash_flow_category,is_intercompany,is_ebitda,is_ebitda_addback,is_statistical,include_in_tb_balance,sort_order
110100,Cash and cash equivalents,BS,Current Assets,Cash and cash equivalents,ASSET,D,CLOSE,CASH,FALSE,FALSE,FALSE,FALSE,TRUE,1010
110200,Restricted cash,BS,Current Assets,Cash and cash equivalents,ASSET,D,CLOSE,CASH,FALSE,FALSE,FALSE,FALSE,TRUE,1020
115100,Short-term investments,BS,Current Assets,Cash and cash equivalents,ASSET,D,CLOSE,INV_OTHER,FALSE,FALSE,FALSE,FALSE,TRUE,1030
120100,Trade accounts receivable,BS,Current Assets,"Accounts receivable, net",ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1110
120200,Allowance for doubtful accounts,BS,Current Assets,"Accounts receivable, net",ASSET,C,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1120
120300,Other receivables,BS,Current Assets,"Accounts receivable, net",ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1130
120500,Intercompany accounts receivable,BS,Current Assets,Intercompany balances,ASSET,D,CLOSE,OP_WC,TRUE,FALSE,FALSE,FALSE,TRUE,1140
121100,Contract assets and unbilled receivables,BS,Current Assets,Contract assets,ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1150
125100,Intercompany loans receivable - current,BS,Current Assets,Intercompany balances,ASSET,D,CLOSE,INV_OTHER,TRUE,FALSE,FALSE,FALSE,TRUE,1160
130100,Raw materials inventory,BS,Current Assets,"Inventory, net",ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1210
130200,Work in process inventory,BS,Current Assets,"Inventory, net",ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1220
130300,Finished goods inventory,BS,Current Assets,"Inventory, net",ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1230
130400,Inventory reserve,BS,Current Assets,"Inventory, net",ASSET,C,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1240
130500,Unrealised intercompany profit in inventory,BS,Current Assets,"Inventory, net",ASSET,C,CLOSE,OP_WC,TRUE,FALSE,FALSE,FALSE,TRUE,1250
140100,Prepaid expenses,BS,Current Assets,Prepaid and other current assets,ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1310
140200,Prepaid income taxes,BS,Current Assets,Prepaid and other current assets,ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1320
140300,Other current assets,BS,Current Assets,Prepaid and other current assets,ASSET,D,CLOSE,OP_WC,FALSE,FALSE,FALSE,FALSE,TRUE,1330
