entity_code,cost_center_code,cost_center_name,department_code,department_name,function_group,dept_function,cost_type,pl_destination,bu_code,is_headcount_bearing,erp_system,manager_id,is_active
NIG-100,100-500,Northstar Topco Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-E7761E,TRUE
NIG-100,100-505,Northstar Topco Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-5ADD33,TRUE
NIG-100,100-510,Northstar Topco Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-F8B00E,TRUE
NIG-100,100-515,Northstar Topco Legal & Risk,D515,Legal & Risk,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-E7BF94,TRUE
NIG-100,100-520,Northstar Topco Procurement,D520,Procurement,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-F20206,TRUE
NIG-100,100-525,Northstar Topco Facilities & Real Estate,D525,Facilities & Real Estate,SUPPORT,SGA,INDIRECT,OPEX,CORP,FALSE,AURORA,MGR-43CEB2,TRUE
NIG-100,100-900,Northstar Topco Executive & Governance,D900,Executive & Governance,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-364593,TRUE
NIG-100,100-905,Northstar Topco Corporate Development,D905,Corporate Development,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-42AA37,TRUE
NIG-100,100-910,Northstar Topco Transformation & ERP Programme,D910,Transformation & ERP Programme,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-7A0698,TRUE
NIG-100,100-950,Northstar Topco Unallocated / Entity Overhead,D950,Unallocated / Entity Overhead,SUPPORT,SGA,INDIRECT,OPEX,CORP,FALSE,AURORA,MGR-918CDD,TRUE
NIG-110,110-500,Shared Services Finance & Accounting,D500,Finance & Accounting,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-5C33A5,TRUE
NIG-110,110-505,Shared Services Human Resources,D505,Human Resources,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-373950,TRUE
NIG-110,110-510,Shared Services Information Technology,D510,Information Technology,SUPPORT,SGA,INDIRECT,OPEX,CORP,TRUE,AURORA,MGR-6E9ED2,TRUE
